Quarter,Time,Down,ToGo,Location,NOR,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Brian Johnson kicks off 61 yards, returned by Marcus Johnson for 27 yards (tackle by Dwayne Washington)",,
1,14:51,1,10,TEN 31,0,0,Ryan Tannehill pass complete short right to Geoff Swaim for 3 yards (tackle by Kaden Elliss),,
1,14:16,2,7,TEN 34,0,0,Adrian Peterson right tackle for 1 yard (tackle by Cameron Jordan),,
1,13:34,3,6,TEN 35,0,0,"Penalty on Anthony Firkser: False Start, 5 yards (accepted) (no play)",,
1,13:17,3,11,TEN 30,0,0,Ryan Tannehill pass incomplete short middle intended for A.J. Brown,,
1,13:12,4,11,TEN 30,0,0,Brett Kern punts 36 yards out of bounds,,
1,13:06,1,10,NOR 34,0,0,Mark Ingram left tackle for 1 yard (tackle by Harold Landry and Jayon Brown),,
1,12:32,2,9,NOR 35,0,0,Trevor Siemian pass complete short middle to Juwan Johnson for 10 yards (tackle by Jayon Brown and Elijah Molden),,
1,12:03,1,10,NOR 45,0,0,Trevor Siemian pass complete short right to Adam Trautman for 8 yards (tackle by Jackrabbit Jenkins),,
1,11:33,2,2,TEN 47,0,0,Ty Montgomery right tackle for 2 yards (tackle by Monty Rice and Denico Autry),,
1,10:56,1,10,TEN 45,0,0,Trevor Siemian sacked by Jeffery Simmons for -8 yards,,
1,10:14,2,18,NOR 47,0,0,Trevor Siemian pass complete short middle to Tre'Quan Smith for 6 yards (tackle by Monty Rice and Jayon Brown),,
1,9:35,3,12,TEN 47,0,0,Trevor Siemian pass incomplete deep right intended for Marquez Callaway,,
1,9:30,4,12,TEN 47,0,0,"Blake Gillikin punts 39 yards, fair catch by Chester Rogers at TEN-8",,
1,9:24,1,10,TEN 8,0,0,Adrian Peterson right guard for 2 yards (tackle by Malcolm Jenkins and Demario Davis),,
1,8:47,2,8,TEN 10,0,0,Ryan Tannehill pass incomplete short right intended for Jeremy McNichols,,
1,8:44,3,8,TEN 10,0,0,Ryan Tannehill pass complete short middle to Anthony Firkser for 2 yards (tackle by Malcolm Jenkins),,
1,8:14,4,6,TEN 12,0,0,"Brett Kern punts 41 yards, returned by Deonte Harty for 4 yards (tackle by Matthias Farley)",,
1,8:08,1,10,TEN 49,0,0,Trevor Siemian pass complete short right to Adam Trautman for 7 yards (tackle by Jayon Brown),,
1,7:26,2,3,TEN 42,0,0,Mark Ingram up the middle for 5 yards (tackle by Jayon Brown),,
1,6:47,1,10,TEN 37,0,0,Taysom Hill left tackle for 10 yards (tackle by Kristian Fulton),,
1,6:09,1,10,TEN 27,0,0,"Trevor Siemian pass incomplete intended for Ty Montgomery. Penalty on Erik McCoy: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",,
1,6:02,1,20,TEN 37,0,0,Trevor Siemian pass complete short right to Tre'Quan Smith for 6 yards (tackle by Kevin Byard),,
1,5:25,2,14,TEN 31,0,0,Trevor Siemian sacked by Naquan Jones for -7 yards,,
1,4:43,3,21,TEN 38,0,0,Trevor Siemian pass incomplete short left intended for Tre'Quan Smith,,
1,4:39,4,21,TEN 38,0,0,"Blake Gillikin punts 38 yards, touchback.",,
1,4:30,1,10,TEN 20,0,0,D'Onta Foreman left guard for 4 yards (tackle by David Onyemata),,
1,3:47,2,6,TEN 24,0,0,Ryan Tannehill pass complete short middle to Marcus Johnson for 50 yards (tackle by Marshon Lattimore),,
1,2:58,1,10,NOR 26,0,0,D'Onta Foreman left guard for 2 yards (tackle by David Onyemata and Carl Granderson),,
1,2:15,2,8,NOR 24,0,0,Ryan Tannehill pass complete short middle to D'Onta Foreman for 9 yards (tackle by Demario Davis),,
1,1:51,1,10,NOR 15,0,0,Ryan Tannehill pass incomplete short right intended for A.J. Brown (defended by Bradley Roby),,
1,1:47,2,10,NOR 15,0,0,D'Onta Foreman left guard for 5 yards (tackle by Shy Tuttle),,
1,1:01,3,5,NOR 10,0,0,Ryan Tannehill pass incomplete short right intended for Jeremy McNichols (defended by Kwon Alexander),,
1,0:55,4,5,NOR 10,0,3,Randy Bullock 28 yard field goal good,,
1,0:52,,,TEN 35,0,3,"Randy Bullock kicks off 61 yards, returned by Deonte Harty for 21 yards (tackle by Dylan Cole and Monty Rice)",,
1,0:48,1,10,NOR 25,0,3,Mark Ingram left end for 3 yards (tackle by Kyle Peko and Elijah Molden),,
1,0:11,2,7,NOR 28,0,3,Mark Ingram left tackle for 1 yard (tackle by Kyle Peko),,
Quarter,Time,Down,ToGo,Location,NOR,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,NOR 29,0,3,Trevor Siemian pass complete deep left to Deonte Harty for 46 yards (tackle by Chris Jackson),,
2,14:20,1,10,TEN 25,0,3,Mark Ingram up the middle for 6 yards (tackle by Jayon Brown),,
2,13:41,2,4,TEN 19,0,3,Taysom Hill right end for 8 yards (tackle by Jackrabbit Jenkins),,
2,13:04,1,10,TEN 11,6,3,"Trevor Siemian pass complete short right to Tre'Quan Smith for 11 yards, touchdown",,
2,12:59,,,TEN 15,6,3,Brian Johnson kicks extra point no good,,
2,12:59,,,NOR 35,6,3,"Brian Johnson kicks off 62 yards, returned by Marcus Johnson for 20 yards (tackle by Paulson Adebo and Zack Baun)",,
2,12:54,1,10,TEN 23,6,3,Ryan Tannehill pass complete short left to Geoff Swaim for 16 yards (tackle by Marshon Lattimore),,
2,12:11,1,10,TEN 39,6,3,D'Onta Foreman left guard for 4 yards (tackle by Demario Davis and David Onyemata),,
2,11:33,2,6,TEN 43,6,3,Ryan Tannehill pass complete deep right to Marcus Johnson for 17 yards (tackle by Marshon Lattimore),,
2,10:55,1,10,NOR 40,6,3,D'Onta Foreman left guard for -1 yards (tackle by Demario Davis),,
2,10:11,2,11,NOR 41,6,3,Ryan Tannehill pass incomplete deep right intended for A.J. Brown,,
2,10:07,3,11,NOR 41,6,3,Ryan Tannehill pass complete short left to Nick Westbrook-Ikhine for 10 yards (tackle by Marshon Lattimore),,
2,9:39,4,1,NOR 31,6,3,"Penalty on NOR: Defensive Too Many Men on Field, 6 yards (accepted) (no play)",,
2,9:17,1,10,NOR 25,6,3,Ryan Tannehill pass incomplete short left intended for Geoff Swaim (defended by Malcolm Jenkins),,
2,9:10,2,10,NOR 25,6,3,D'Onta Foreman right end for 6 yards (tackle by Kwon Alexander),,
2,8:25,3,4,NOR 19,6,3,Ryan Tannehill pass complete short right to Jeremy McNichols for 1 yard (tackle by Kwon Alexander and Bradley Roby),,
2,7:47,4,3,NOR 18,6,6,Randy Bullock 36 yard field goal good,,
2,7:44,,,TEN 35,6,6,"Randy Bullock kicks off 64 yards, returned by Deonte Harty for 13 yards (tackle by Elijah Molden)",,
2,7:37,1,10,NOR 14,6,6,Mark Ingram up the middle for no gain (tackle by Monty Rice and Kyle Peko),,
2,6:58,2,10,NOR 14,6,6,Taysom Hill pass complete short left to Adam Trautman for 3 yards (tackle by Monty Rice),,
2,6:15,3,7,NOR 17,6,6,"Penalty on Chris Jackson: Defensive Holding, 5 yards (accepted) (no play)",,
2,6:00,1,10,NOR 22,6,6,Trevor Siemian pass incomplete short left intended for Deonte Harty,,
2,5:57,2,10,NOR 22,6,6,Mark Ingram left guard for 2 yards (tackle by Amani Hooker),,
2,5:15,3,8,NOR 24,6,6,Trevor Siemian pass incomplete deep left intended for Kevin White,,
2,5:11,4,8,NOR 24,6,6,"Blake Gillikin punts 41 yards, returned by Chester Rogers for 9 yards (tackle by Kaden Elliss and J.T. Gray)",,
2,5:01,1,10,TEN 44,6,6,Ryan Tannehill pass complete short middle to Marcus Johnson for 16 yards (tackle by Paulson Adebo),,
2,4:29,1,10,NOR 40,6,6,Ryan Tannehill pass complete deep right to A.J. Brown for 16 yards (tackle by Marcus Williams),,
2,3:51,1,10,NOR 24,6,6,Adrian Peterson right tackle for 5 yards (tackle by Demario Davis and Kwon Alexander),,
2,3:02,2,5,NOR 19,6,6,"Penalty on TEN: Delay of Game, 5 yards (accepted) (no play)",,
2,2:52,,,,,,Timeout #1 by New Orleans Saints,,
