Unnamed: 0,NOR,TEN
First Downs,22,17
Rush-Yds-TDs,21-86-1,29-66-1
Cmp-Att-Yd-TD-INT,21-36-309-2-0,19-27-213-1-0
Sacked-Yards,4-22,2-15
Net Pass Yards,287,198
Total Yards,373,264
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,9-65,8-49
Third Down Conv.,5-12,3-12
Fourth Down Conv.,0-0,0-0
Time of Possession,28:26,31:34
