Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Mark Ingram,NOR,14,47,1,2,31,2.2,16,1.1,1,14.0
Taysom Hill,NOR,3,23,0,2,14,4.7,9,3.0,1,3.0
Dwayne Washington,NOR,2,8,0,,4,2.0,4,2.0,0,
Deonte Harty,NOR,1,6,0,0,3,3.0,3,3.0,0,
Ty Montgomery,NOR,1,2,0,1,1,1.0,1,1.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
D'Onta Foreman,TEN,11,30,0,0,12,1.1,18,1.6,0,
Adrian Peterson,TEN,8,21,0,1,13,1.6,8,1.0,0,
Ryan Tannehill,TEN,5,1,1,2,-1,-0.2,2,0.4,0,
Jeremy McNichols,TEN,4,7,0,,5,1.3,2,0.5,0,
A.J. Brown,TEN,1,7,0,1,5,5.0,2,2.0,0,
