Quarter,Time,Tm,Detail,NOR,TEN
1.0,0:52,Titans,Randy Bullock 28 yard field goal,0,3
2.0,12:59,Saints,Tre'Quan Smith 11 yard pass from Trevor Siemian (Brian Johnson kick failed),6,3
,7:44,Titans,Randy Bullock 36 yard field goal,6,6
,1:38,Titans,Ryan Tannehill 1 yard rush (Randy Bullock kick),6,13
3.0,12:02,Titans,MyCole Pruitt 2 yard pass from Ryan Tannehill (Randy Bullock kick),6,20
,3:54,Saints,Mark Ingram 13 yard rush (Brian Johnson kick failed),12,20
4.0,10:01,Titans,Randy Bullock 36 yard field goal,12,23
,5:33,Saints,Brian Johnson 20 yard field goal,15,23
,1:16,Saints,Marquez Callaway 15 yard pass from Trevor Siemian (pass failed),21,23
