Quarter,Time,Tm,Detail,BUF,DET
1.0,0:05,Lions,Golden Tate 9 yard pass from Matthew Stafford (Alex Henery kick),0,7
2.0,13:44,Lions,Rashean Mathis 41 yard interception return (Alex Henery kick),0,14
,6:43,Bills,Dan Carpenter 45 yard field goal,3,14
3.0,1:23,Bills,Dan Carpenter 25 yard field goal,6,14
4.0,9:23,Bills,Chris Gragg 2 yard pass from Kyle Orton (Fred Jackson run),14,14
,0:04,Bills,Dan Carpenter 58 yard field goal,17,14
