Unnamed: 0,BUF,DET
First Downs,19,13
Rush-Yds-TDs,22-49-0,20-69-0
Cmp-Att-Yd-TD-INT,30-43-308-1-1,18-31-231-1-1
Sacked-Yards,2-14,6-27
Net Pass Yards,294,204
Total Yards,343,273
Fumbles-Lost,3-0,3-1
Turnovers,1,2
Penalties-Yards,11-74,8-62
Third Down Conv.,5-16,1-11
Fourth Down Conv.,0-0,0-0
Time of Possession,32:19,27:41
