Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Commanders to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,WAS 25,0,0,Sam Howell pass complete short middle to Curtis Samuel for 7 yards (tackle by Sydney Brown),0.610,1.010
1,14:26,2,3,WAS 32,0,0,Sam Howell pass complete short left to Jahan Dotson for 2 yards (tackle by Nakobe Dean),1.010,0.560
1,13:49,3,1,WAS 34,0,0,Brian Robinson up the middle for 2 yards (tackle by Kevin Byard and Nakobe Dean),0.560,1.330
1,13:09,1,10,WAS 36,0,0,Sam Howell pass complete short left to Brian Robinson for 9 yards (tackle by Marlon Tuipulotu),1.330,2.010
1,12:28,2,1,WAS 45,0,0,Brian Robinson up the middle for -1 yards (tackle by Sydney Brown),2.010,1.160
1,11:53,3,2,WAS 44,0,0,"Sam Howell pass incomplete short right intended for Curtis Samuel. Penalty on Eli Ricks: Defensive Pass Interference, 4 yards (accepted) (no play)",1.160,2.130
1,11:46,1,10,WAS 48,0,0,Sam Howell pass complete short right to Terry McLaurin for 5 yards (tackle by Darius Slay and Kevin Byard),2.130,2.260
1,11:13,2,5,PHI 47,0,0,Dyami Brown left end for no gain (tackle by Sydney Brown and Jalen Carter),2.260,1.550
1,10:26,3,5,PHI 47,0,0,Sam Howell pass complete short right to Curtis Samuel for -1 yards (tackle by Eli Ricks),1.550,0.070
1,9:46,4,6,PHI 48,0,0,"Tress Way punts 40 yards, fair catch by Britain Covey at PHI-8",0.070,0.380
1,9:39,1,10,PHI 8,0,0,D'Andre Swift right guard for 3 yards (tackle by Montez Sweat),-0.380,-0.560
1,9:04,2,7,PHI 11,0,0,Jalen Hurts pass complete short left to Boston Scott for 4 yards (tackle by Khaleke Hudson),-0.560,-0.600
