Unnamed: 0,PHI,WAS
First Downs,21,26
Rush-Yds-TDs,22-59-1,16-84-0
Cmp-Att-Yd-TD-INT,29-38-319-4-0,39-52-397-4-1
Sacked-Yards,2-4,1-9
Net Pass Yards,315,388
Total Yards,374,472
Fumbles-Lost,2-2,1-0
Turnovers,2,1
Penalties-Yards,3-14,7-79
Third Down Conv.,8-13,7-12
Fourth Down Conv.,1-1,0-3
Time of Possession,28:31,31:29
