Unnamed: 0,PIT,WAS
First Downs,23,18
Rush-Yds-TDs,30-147-2,12-55-1
Cmp-Att-Yd-TD-INT,27-37-300-3-1,30-43-329-0-2
Sacked-Yards,1-10,0-0
Net Pass Yards,290,329
Total Yards,437,384
Fumbles-Lost,2-0,1-0
Turnovers,1,2
Penalties-Yards,4-81,9-55
Third Down Conv.,9-14,3-10
Fourth Down Conv.,2-2,0-2
Time of Possession,33:18,26:42
