Quarter,Time,Down,ToGo,Location,PIT,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,WAS 25,0,0,Kirk Cousins pass complete short right to Jordan Reed for 12 yards (tackle by Lawrence Timmons and Ross Cockrell),0.610,1.400
1,14:28,1,10,WAS 37,0,0,Matt Jones middle for no gain (tackle by Ryan Shazier and Jarvis Jones),1.400,0.860
1,13:47,2,10,WAS 37,0,0,Kirk Cousins pass incomplete short middle intended for Jordan Reed (defended by Lawrence Timmons),0.860,0.170
1,13:40,3,10,WAS 37,0,0,Kirk Cousins pass complete short right to Jordan Reed for 14 yards (tackle by Sean Davis and Mike Mitchell),0.170,2.320
1,12:54,1,10,PIT 49,0,0,Kirk Cousins pass incomplete short right intended for Ryan Grant,2.320,1.780
1,12:46,2,10,PIT 49,0,0,Matt Jones left end for -4 yards (tackle by Stephon Tuitt and Cameron Heyward),1.780,0.560
1,12:05,3,14,WAS 47,0,0,Kirk Cousins pass complete short middle to Jordan Reed for 13 yards (tackle by Cameron Heyward),0.560,0.590
1,11:25,4,1,PIT 40,0,0,"Tress Way punts 27 yards, fair catch by Eli Rogers",0.590,0.320
1,11:16,1,10,PIT 13,0,0,DeAngelo Williams left end for no gain (tackle by Mason Foster),-0.320,-0.770
1,10:44,2,10,PIT 13,0,0,Ben Roethlisberger pass complete short right to Eli Rogers for 6 yards (tackle by Josh Norman and William Compton),-0.770,-0.710
1,10:09,3,4,PIT 19,0,0,Ben Roethlisberger pass complete short right to DeAngelo Williams for 2 yards (tackle by Su'a Cravens and William Compton),-0.710,-1.960
1,9:30,4,2,PIT 21,0,0,"Jordan Berry punts 46 yards, fair catch by Jamison Crowder",-1.960,-1.140
1,9:20,1,10,WAS 33,0,0,Matt Jones right end for 5 yards (tackle by Jarvis Jones),1.140,1.270
1,8:53,2,5,WAS 38,0,0,Kirk Cousins pass complete short left to DeSean Jackson for 31 yards (tackle by Mike Mitchell),1.270,3.510
1,8:18,1,10,PIT 31,0,0,Matt Jones right tackle for 8 yards (tackle by Jarvis Jones and Sean Davis),3.510,4.050
1,7:36,2,2,PIT 23,0,0,Kirk Cousins pass incomplete short right intended for DeSean Jackson (defended by Arthur Moats),4.050,3.340
1,7:33,3,2,PIT 23,0,0,Kirk Cousins pass complete short right to DeSean Jackson for 6 yards (tackle by Ross Cockrell),3.340,4.440
1,6:52,1,10,PIT 17,0,0,Matt Jones left guard for 4 yards (tackle by Lawrence Timmons),4.440,4.500
1,6:11,2,6,PIT 13,0,0,Kirk Cousins pass incomplete short middle intended for Jordan Reed (defended by Ryan Shazier),4.500,3.680
1,6:05,3,6,PIT 13,0,0,Kirk Cousins pass incomplete short right intended for Jamison Crowder,3.680,2.590
1,6:01,4,6,PIT 13,0,3,Dustin Hopkins 31 yard field goal good,2.590,3.000
1,6:01,,,WAS 35,0,3,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
1,5:56,1,10,PIT 25,0,3,Ben Roethlisberger pass complete short left to Antonio Brown for 5 yards (tackle by Mason Foster),0.610,0.740
1,5:22,2,5,PIT 30,0,3,DeAngelo Williams middle for 4 yards (tackle by Chris Baker and David Bruton),0.740,0.560
1,4:43,3,1,PIT 34,0,3,Ben Roethlisberger pass complete short middle to Eli Rogers for 20 yards (tackle by Josh Norman),0.560,2.520
1,4:00,1,10,WAS 46,0,3,Ben Roethlisberger pass incomplete short right intended for Sammie Coates,2.520,1.980
1,3:56,2,10,WAS 46,0,3,Ben Roethlisberger pass incomplete short left intended for Eli Rogers is intercepted by Bashaud Breeland at WAS-37 and returned for 26 yards,1.980,-3.120
1,3:46,1,10,PIT 37,0,3,Kirk Cousins pass complete short middle to Jamison Crowder for 11 yards (tackle by Anthony Chickillo),3.120,3.840
1,3:08,1,10,PIT 26,0,3,Kirk Cousins pass complete short right to Pierre Garcon for 6 yards (tackle by Robert Golden and Ross Cockrell),3.840,4.110
1,2:29,2,4,PIT 20,0,3,"Penalty on Kory Lichtensteiger: False Start, 5 yards (no play)",4.110,3.430
1,2:06,2,9,PIT 25,0,3,Kirk Cousins pass incomplete short right intended for DeSean Jackson,3.430,2.740
1,2:01,3,9,PIT 25,0,3,Kirk Cousins pass complete short middle to Pierre Garcon for 2 yards (tackle by Robert Golden),2.740,1.930
1,1:13,4,7,PIT 23,0,6,Dustin Hopkins 40 yard field goal good. Penalty on Artie Burns: Defensive Offside (Declined),1.930,3.000
1,1:13,,,WAS 35,0,6,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
1,1:08,1,10,PIT 25,0,6,"Ben Roethlisberger sacked by Ryan Kerrigan for -8 yards. Ben Roethlisberger fumbles (forced by Ryan Kerrigan), recovered by David DeCastro at PIT-13",0.610,-1.640
1,0:31,2,22,PIT 13,0,6,Ben Roethlisberger pass complete short left to DeAngelo Williams for 14 yards (tackle by William Compton),-1.640,-0.360
Quarter,Time,Down,ToGo,Location,PIT,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,PIT 27,0,6,Ben Roethlisberger pass complete short right to Antonio Brown for 13 yards (tackle by Dashaun Phillips),-0.360,1.600
2,14:18,1,10,PIT 40,0,6,DeAngelo Williams left guard for 8 yards (tackle by Josh Norman and Mason Foster),1.600,2.130
2,13:40,2,2,PIT 48,0,6,DeAngelo Williams right end for 3 yards (tackle by Kedric Golston and Chris Baker),2.130,2.320
2,13:01,1,10,WAS 49,0,6,DeAngelo Williams left tackle for 3 yards (tackle by William Compton and Chris Baker),2.320,2.190
2,12:20,2,7,WAS 46,0,6,Ben Roethlisberger pass complete short middle to Jesse James for 8 yards (tackle by Josh Norman and Bashaud Breeland),2.190,3.050
2,11:39,1,10,WAS 38,0,6,Fitzgerald Toussaint right tackle for 2 yards (tackle by William Compton and David Bruton),3.050,2.780
2,11:01,2,8,WAS 36,0,6,Ben Roethlisberger pass incomplete short right intended for Antonio Brown (defended by Josh Norman),2.780,2.080
,,,,,,,"WAS challenged the incomplete pass ruling, and the play was upheld.",,
2,10:56,3,8,WAS 36,0,6,Ben Roethlisberger pass complete short middle to Jesse James for 7 yards (tackle by David Bruton and William Compton),2.080,1.620
2,10:18,4,1,WAS 29,6,6,"Ben Roethlisberger pass complete deep left to Antonio Brown for 29 yards, touchdown",1.620,7.000
2,10:18,,,WAS 29,7,6,Chris Boswell kicks extra point good,0.000,0.000
2,10:18,,,PIT 35,7,6,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
2,10:10,1,10,WAS 25,7,6,Kirk Cousins pass complete deep right to DeSean Jackson for 33 yards (tackle by Mike Mitchell),0.610,0.610
2,9:17,1,10,WAS 25,7,6,Timeout #2 by Washington Redskins,0.610,2.790
2,9:17,1,10,PIT 42,7,6,"Matt Jones middle for 10 yards (tackle by Ross Cockrell and Mike Mitchell). Penalty on Vernon Davis: Offensive Holding, 10 yards (no play)",2.790,2.130
2,8:53,1,20,WAS 48,7,6,"Penalty on Trent Williams: False Start, 5 yards (no play)",2.130,1.800
2,8:32,1,25,WAS 43,7,6,Kirk Cousins pass complete short middle to Jamison Crowder for 9 yards (tackle by Lawrence Timmons and Jarvis Jones),1.800,1.430
2,7:54,2,16,PIT 48,7,6,Chris Thompson right guard for 6 yards (tackle by Ryan Shazier),1.430,1.550
2,7:16,3,10,PIT 42,7,6,Kirk Cousins pass complete short left to Jordan Reed for 4 yards (tackle by Lawrence Timmons),1.550,0.720
2,6:27,4,6,PIT 38,7,6,Kirk Cousins pass complete short middle to Chris Thompson for 5 yards (tackle by Robert Golden),0.720,-1.140
2,6:19,1,10,PIT 33,7,6,DeAngelo Williams left guard for 5 yards (tackle by Mason Foster),1.140,1.270
2,5:49,2,5,PIT 38,7,6,Ben Roethlisberger pass complete short middle to Jesse James for 4 yards (tackle by DeAngelo Hall),1.270,1.090
2,5:08,3,1,PIT 42,7,6,DeAngelo Williams middle for 3 yards (tackle by DeAngelo Hall and Mason Foster),1.090,1.930
2,4:31,1,10,PIT 45,7,6,DeAngelo Williams left end for 9 yards (tackle by Evander Hood and Bashaud Breeland),1.930,2.600
2,3:56,2,1,WAS 46,7,6,DeAngelo Williams right end for no gain (tackle by Preston Smith and Mason Foster),2.600,1.880
2,3:09,3,1,WAS 46,7,6,DeAngelo Williams right guard for 3 yards (tackle by David Bruton),1.880,2.720
2,2:30,1,10,WAS 43,7,6,Ben Roethlisberger pass complete short middle to Eli Rogers for 5 yards (tackle by William Compton),2.720,2.850
2,2:00,2,5,WAS 38,7,6,Ben Roethlisberger pass incomplete short right intended for DeAngelo Williams,2.850,2.150
2,1:55,3,5,WAS 38,7,6,Ben Roethlisberger pass complete short right to DeAngelo Williams for 4 yards (tackle by Su'a Cravens and Josh Norman),2.150,1.100
2,1:24,4,1,WAS 34,7,6,Ben Roethlisberger pass complete short middle to Eli Rogers for 19 yards (tackle by Bashaud Breeland),1.100,1.100
2,1:11,4,1,WAS 34,7,6,Timeout #1 by Pittsburgh Steelers,1.100,4.580
2,1:11,1,10,WAS 15,7,6,Ben Roethlisberger pass complete short left to Eli Rogers for 6 yards (tackle by Su'a Cravens),4.580,5.030
