Unnamed: 0,BUF,DET
First Downs,28,22
Rush-Yds-TDs,29-164-1,28-96-1
Cmp-Att-Yd-TD-INT,24-42-253-2-1,23-37-240-2-0
Sacked-Yards,3-16,2-10
Net Pass Yards,237,230
Total Yards,401,326
Fumbles-Lost,1-0,4-2
Turnovers,1,2
Penalties-Yards,5-36,3-32
Third Down Conv.,7-12,6-15
Fourth Down Conv.,0-0,3-3
Time of Possession,31:26,28:34
