Quarter,Time,Down,ToGo,Location,BUF,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Tyler Bass kicks off 65 yards, returned by Justin Jackson for 24 yards (tackle by Tyler Matakevich)",0.000,0.540
1,14:55,1,10,DET 24,0,0,D'Andre Swift right end for no gain (tackle by Tyrel Dodson),0.540,0.000
1,14:27,2,10,DET 24,0,0,Jared Goff pass incomplete short right,0.000,-0.690
1,14:20,3,10,DET 24,0,0,Jared Goff pass incomplete deep right intended for DJ Chark,-0.690,-1.770
1,14:15,4,10,DET 24,0,0,Jack Fox punts 57 yards downed by Anthony Pittman,-1.770,-0.150
1,14:02,1,10,BUF 19,0,0,Josh Allen pass incomplete short left intended for Stefon Diggs,0.150,-0.390
1,13:59,2,10,BUF 19,0,0,Devin Singletary left tackle for 3 yards (tackle by Alim McNeill),-0.390,-0.680
1,13:23,3,7,BUF 22,0,0,Josh Allen pass incomplete deep right,-0.680,-1.900
1,13:14,4,7,BUF 22,0,0,"Sam Martin punts 56 yards, returned by Kalif Raymond for 13 yards. Kalif Raymond fumbles (forced by Quintin Morris), recovered by James Houston at DET-39 (tackle by Quintin Morris)",-1.900,-1.530
1,13:01,1,10,DET 39,0,0,Jamaal Williams left tackle for 4 yards (tackle by Von Miller),1.530,1.530
1,12:21,2,6,DET 43,0,0,Jared Goff pass incomplete short right intended for Brock Wright,1.530,0.830
1,12:14,3,6,DET 43,0,0,"Penalty on Boogie Basham: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.830,1.490
1,12:14,3,1,DET 48,0,0,Jamaal Williams up the middle for 6 yards (tackle by Dane Jackson),1.490,2.520
1,11:41,1,10,BUF 46,0,0,Jamaal Williams up the middle for 3 yards (tackle by A.J. Klein),2.520,2.380
1,11:07,2,7,BUF 43,0,0,Jared Goff pass complete short middle to DJ Chark for 15 yards (tackle by Dane Jackson),2.380,3.710
1,10:28,1,10,BUF 28,0,0,Jared Goff pass incomplete deep left intended for DJ Chark (defended by Dane Jackson),3.710,3.170
1,10:23,2,10,BUF 28,0,0,Justin Jackson left end for 2 yards (tackle by A.J. Klein),3.170,2.740
1,9:45,3,8,BUF 26,0,0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 12 yards (tackle by Dane Jackson and Damar Hamlin),2.740,4.650
1,9:05,1,10,BUF 14,0,0,Jared Goff pass complete short right to Kalif Raymond for 6 yards (tackle by Matt Milano and Damar Hamlin),4.650,5.090
1,8:25,2,4,BUF 8,0,0,Jamaal Williams right end for no gain (tackle by A.J. Klein and Tim Settle),5.090,4.280
1,7:43,3,4,BUF 8,0,0,Jamaal Williams left tackle for 3 yards (tackle by DaQuan Jones),4.280,3.030
1,7:00,4,1,BUF 5,0,0,"Jared Goff for no gain. Penalty on Tim Settle: Defensive Offside, 3 yards (accepted) (no play)",3.030,6.740
1,6:47,1,2,BUF 2,0,6,"Jamaal Williams for 2 yards, touchdown",6.740,7.000
1,6:44,,,BUF 15,0,7,Michael Badgley kicks extra point good,0.000,0.000
1,6:44,,,DET 35,0,7,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
1,6:44,1,10,BUF 25,0,7,Nyheim Hines left end for 3 yards (tackle by Alim McNeill and John Cominsky),0.610,0.470
1,6:06,2,7,BUF 28,0,7,Josh Allen pass complete deep left to Gabriel Davis for 16 yards (tackle by Jerry Jacobs),0.470,1.860
1,5:28,1,10,BUF 44,0,7,Devin Singletary up the middle for 1 yard (tackle by Mike Hughes and Alim McNeill),1.860,1.450
1,4:50,2,9,BUF 45,0,7,Josh Allen pass complete short right to Devin Singletary for 8 yards (tackle by Alex Anzalone and DeShon Elliott),1.450,1.820
1,4:18,3,1,DET 47,0,7,Devin Singletary up the middle for 3 yards (tackle by Malcolm Rodriguez),1.820,2.650
1,3:39,1,10,DET 44,0,7,Josh Allen pass incomplete short right intended for James Cook,2.650,2.110
1,3:33,2,10,DET 44,0,7,Josh Allen scrambles up the middle for 21 yards (tackle by Kerby Joseph),2.110,4.040
1,2:52,1,10,DET 23,0,7,Josh Allen pass incomplete deep left,4.040,3.500
1,2:45,2,10,DET 23,0,7,Isaiah McKenzie left tackle for 4 yards (tackle by Alex Anzalone),3.500,3.340
1,2:04,3,6,DET 19,6,7,"Josh Allen pass complete deep left to Isaiah McKenzie for 19 yards, touchdown",3.340,7.000
1,1:58,,,DET 15,7,7,Tyler Bass kicks extra point good,0.000,0.000
1,1:58,,,BUF 35,7,7,"Tyler Bass kicks off 60 yards, returned by Justin Jackson for 23 yards (tackle by Tyler Matakevich and Jaquan Johnson)",0.000,0.810
1,1:52,1,10,DET 28,7,7,Jared Goff pass complete short right to Amon-Ra St. Brown for 8 yards (tackle by Matt Milano),0.810,1.340
1,1:35,2,2,DET 36,7,7,Jared Goff sacked by DaQuan Jones for -7 yards,1.340,-0.300
1,0:48,3,9,DET 29,7,7,Jared Goff pass complete short left to Amon-Ra St. Brown for 13 yards (tackle by Christian Benford),-0.300,1.730
Quarter,Time,Down,ToGo,Location,BUF,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 42,7,7,Jared Goff pass incomplete short right,1.730,1.190
2,14:54,2,10,DET 42,7,7,Jared Goff pass complete short left to Justin Jackson for 15 yards (tackle by Jordan Poyer and Matt Milano),1.190,2.720
2,14:10,1,10,BUF 43,7,7,D'Andre Swift right end for 2 yards (tackle by Ed Oliver),2.720,2.450
2,13:29,2,8,BUF 41,7,7,"Jamaal Williams left tackle for no gain. Jamaal Williams fumbles (forced by Ed Oliver) (tackle by Christian Benford), recovered by Ed Oliver at BUF-41 (tackle by Christian Benford) (tackle by Christian Benford) (tackle by Ed Oliver) (tackle by Ed Oliver)",2.450,-1.730
