Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Stefon Diggs,BUF,15,8,77,1,6,57,7.1,20,2.5,9.0,1,8.0,3,20.0,1,62.4
Isaiah McKenzie,BUF,10,6,96,1,4,81,13.5,15,2.5,13.1,0,,1,10.0,0,125.4
Gabriel Davis,BUF,5,4,38,0,3,35,8.8,3,0.8,12.2,0,,0,0.0,0,98.3
James Cook,BUF,5,2,14,0,1,8,4.0,6,3.0,2.0,0,,2,40.0,0,47.9
Dawson Knox,BUF,2,2,17,0,1,15,7.5,2,1.0,7.5,0,,0,0.0,0,102.1
Quintin Morris,BUF,1,1,3,0,1,2,2.0,1,1.0,2.0,0,,0,0.0,0,79.2
Devin Singletary,BUF,1,1,8,0,0,0,0.0,8,8.0,0.0,0,,0,0.0,0,100.0
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Amon-Ra St. Brown,DET,10,9,122,1,7,80,8.9,42,4.7,8.4,1,9.0,0,0.0,0,150.8
Kalif Raymond,DET,6,4,35,0,1,17,4.3,18,4.5,8.3,0,,0,0.0,0,81.9
D'Andre Swift,DET,8,4,24,0,1,-9,-2.3,33,8.3,2.9,0,,1,12.5,0,56.2
DJ Chark,DET,5,2,16,1,2,14,7.0,2,1.0,15.8,0,,1,20.0,0,88.3
Brock Wright,DET,3,2,6,0,,3,1.5,3,1.5,1.3,0,,1,33.3,0,70.1
Justin Jackson,DET,2,1,15,0,1,-4,-4.0,19,19.0,-2.5,0,,0,0.0,0,75.0
James Mitchell,DET,1,1,22,0,1,3,3.0,19,19.0,3.0,0,,0,0.0,0,118.7
