Quarter,Time,Tm,Detail,CLE,CIN
1.0,9:17,Browns,Zane Gonzalez 27 yard field goal,3,0
,5:08,Bengals,Tyler Boyd 8 yard pass from Andy Dalton (Randy Bullock kick),3,7
2.0,9:14,Bengals,Randy Bullock 31 yard field goal,3,10
,6:12,Bengals,Randy Bullock 49 yard field goal,3,13
,2:06,Bengals,Randy Bullock 21 yard field goal,3,16
,0:00,Browns,Zane Gonzalez 21 yard field goal,6,16
3.0,10:21,Bengals,Tyler Kroft 1 yard pass from Andy Dalton (Randy Bullock kick),6,23
,4:33,Browns,Zane Gonzalez 39 yard field goal,9,23
4.0,6:57,Browns,DeShone Kizer 3 yard rush (Zane Gonzalez kick),16,23
,2:57,Bengals,Joe Mixon 11 yard rush (Randy Bullock kick),16,30
