Unnamed: 0,CLE,CIN
First Downs,21,23
Rush-Yds-TDs,31-169-1,30-152-1
Cmp-Att-Yd-TD-INT,18-32-268-0-0,18-28-214-2-0
Sacked-Yards,4-32,1-5
Net Pass Yards,236,209
Total Yards,405,361
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,7-69,4-35
Third Down Conv.,6-15,4-10
Fourth Down Conv.,2-3,0-0
Time of Possession,29:28,30:32
