Quarter,Time,Down,ToGo,Location,NYG,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 69 yards, returned by Devin Thomas for 27 yards (tackle by Jeff Tarpinian)",0.000,0.480
1,14:55,1,10,NYG 23,0,0,Eli Manning pass complete short middle to Mario Manningham for 14 yards (tackle by Patrick Chung),0.480,1.400
1,14:21,1,10,NYG 37,0,0,Eli Manning pass incomplete deep left intended for Mario Manningham,1.400,0.860
1,14:15,2,10,NYG 37,0,0,Brandon Jacobs middle for 8 yards (tackle by James Ihedigbo),0.860,1.220
1,13:37,3,2,NYG 45,0,0,Eli Manning pass incomplete deep left intended for Mario Manningham,1.220,-0.390
1,13:30,4,2,NYG 45,0,0,"Steve Weatherford punts 45 yards. Penalty on Tracy White: Offensive Holding, 5 yards",-0.390,0.380
1,13:23,1,10,NWE 5,0,0,BenJarvus Green-Ellis left guard for 18 yards (tackle by Michael Boley),-0.380,0.480
1,12:49,1,10,NWE 23,0,0,BenJarvus Green-Ellis left tackle for no gain (tackle by Mathias Kiwanuka),0.480,-0.070
1,12:15,2,10,NWE 23,0,0,BenJarvus Green-Ellis middle for 5 yards (tackle by Linval Joseph),-0.070,-0.100
1,11:34,3,5,NWE 28,0,0,Tom Brady pass complete short left to Aaron Hernandez for 4 yards (tackle by Antrel Rolle),-0.100,-1.240
1,11:00,4,1,NWE 32,0,0,"Zoltan Mesko punts 46 yards, fair catch by Aaron Ross",-1.240,-0.410
1,10:53,1,10,NYG 22,0,0,Brandon Jacobs right guard for 4 yards (tackle by Brandon Deaderick),0.410,0.410
1,10:22,2,6,NYG 26,0,0,Eli Manning pass complete short left to Victor Cruz for 7 yards (tackle by Rob Ninkovich and Brandon Spikes),0.410,1.140
1,9:52,1,10,NYG 33,0,0,Brandon Jacobs left guard for 2 yards (tackle by Vince Wilfork and Devin McCourty),1.140,0.860
1,9:16,2,8,NYG 35,0,0,Eli Manning pass complete short right to Brandon Jacobs for 10 yards (tackle by James Ihedigbo),0.860,1.930
1,8:47,1,10,NYG 45,0,0,Eli Manning pass incomplete deep right intended for Jake Ballard (defended by Rob Ninkovich),1.930,1.380
1,8:42,2,10,NYG 45,0,0,Danny Ware right guard for 1 yard (tackle by Rob Ninkovich),1.380,0.830
1,8:01,3,9,NYG 46,0,0,Eli Manning pass complete short middle to Jake Ballard for 8 yards (tackle by Brandon Spikes),0.830,0.200
1,7:20,4,1,NWE 46,0,0,"Steve Weatherford punts 40 yards, fair catch by Julian Edelman",0.200,0.380
1,7:12,1,10,NWE 6,0,0,Tom Brady pass complete short left to Deion Branch for 6 yards (tackle by Michael Coe),-0.380,-0.340
1,6:36,2,4,NWE 12,0,0,BenJarvus Green-Ellis right tackle for 3 yards (tackle by Osi Umenyiora),-0.340,-0.370
1,5:59,3,1,NWE 15,0,0,Danny Woodhead middle for -1 yards (tackle by Deon Grant and Mathias Kiwanuka),-0.370,-2.470
1,5:28,4,2,NWE 14,0,0,"Zoltan Mesko punts 50 yards, fair catch by Aaron Ross",-2.470,-1.330
1,5:20,1,10,NYG 36,0,0,Brandon Jacobs right guard for 2 yards (tackle by Brandon Spikes),1.330,1.060
1,4:48,2,8,NYG 38,0,0,Eli Manning pass complete short middle to Brandon Jacobs for 3 yards (tackle by Brandon Spikes),1.060,0.760
1,4:03,3,5,NYG 41,0,0,Eli Manning pass incomplete short middle intended for Victor Cruz,0.760,-0.650
1,3:58,4,5,NYG 41,0,0,"Steve Weatherford punts 41 yards, returned by Julian Edelman for -1 yards (tackle by Zak DeOssie)",-0.650,0.060
1,3:49,1,10,NWE 17,0,0,Tom Brady pass complete short left to BenJarvus Green-Ellis for 11 yards (tackle by Mathias Kiwanuka),-0.060,0.810
1,3:08,1,10,NWE 28,0,0,BenJarvus Green-Ellis middle for 4 yards (tackle by Justin Tuck),0.810,0.800
1,2:32,2,6,NWE 32,0,0,Tom Brady pass complete deep middle to Wes Welker for 25 yards (tackle by Kenny Phillips),0.800,2.720
1,1:47,1,10,NYG 43,0,0,Tom Brady pass incomplete deep right intended for Rob Gronkowski,2.720,2.180
1,1:42,2,10,NYG 43,0,0,Tom Brady pass complete short middle to Rob Gronkowski for 6 yards (tackle by Michael Boley and Mathias Kiwanuka),2.180,2.280
1,0:59,3,4,NYG 37,0,0,Tom Brady right tackle for 5 yards (tackle by Mathias Kiwanuka and Michael Boley),2.280,3.450
