Unnamed: 0,NYG,NWE
First Downs,23,23
Rush-Yds-TDs,29-111-1,24-106-0
Cmp-Att-Yd-TD-INT,20-39-250-2-1,28-49-342-2-2
Sacked-Yards,0-0,2-10
Net Pass Yards,250,332
Total Yards,361,438
Fumbles-Lost,2-1,2-2
Turnovers,2,4
Penalties-Yards,6-50,7-81
Third Down Conv.,4-14,5-15
Fourth Down Conv.,0-0,1-1
Time of Possession,30:17,29:43
