Quarter,Time,Down,ToGo,Location,CIN,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,SDG 30,0,0,"Steve Christie kicks off 63 yards, returned by Brandon Bennett for 23 yards (tackle by Carlos Polk)",0.000,0.940
1,14:54,1,10,CIN 30,0,0,"Jon Kitna pass incomplete intended for Chad Ochocinco. Penalty on Quentin Jammer: Defensive Pass Interference, 14 yards (no play)",0.940,1.860
1,14:49,1,10,CIN 44,0,0,"Penalty on Jamal Williams: Encroachment, 5 yards (no play)",1.860,2.590
1,14:49,1,5,CIN 49,0,0,"Rudi Johnson for -10 yards (tackle by Terrence Kiel). Penalty on Terrence Kiel: Face Mask (5 Yards), 10 yards",2.590,2.590
1,14:23,1,5,CIN 49,0,0,Jon Kitna pass complete to Rudi Johnson for 10 yards (tackle by Donnie Edwards),2.590,2.850
1,14:10,1,10,SDG 41,0,0,Rudi Johnson right tackle for 4 yards (tackle by Zeke Moreno),2.850,2.850
1,13:43,2,6,SDG 37,0,0,Rudi Johnson up the middle for 2 yards (tackle by Ben Leber and Adrian Dingle),2.850,2.410
1,13:08,3,4,SDG 35,0,0,Peter Warrick left end for 9 yards (tackle by Vernon Fox),2.410,3.840
1,12:36,1,10,SDG 26,0,0,"Rudi Johnson right end for no gain (tackle by Donnie Edwards). Penalty on Peter Warrick: Offensive Holding, 10 yards (no play)",3.840,3.180
1,12:11,1,20,SDG 36,0,0,Jon Kitna pass incomplete intended for Corey Dillon,3.180,1.950
1,12:04,2,20,SDG 36,0,0,Jon Kitna pass complete to Chad Ochocinco for 8 yards (tackle by Vernon Fox),1.950,2.350
1,11:22,3,12,SDG 28,0,0,"Jon Kitna up the middle for 15 yards. Penalty on Sammy Davis: Illegal Use of Hands, 5 yards",2.350,5.370
1,11:22,1,8,SDG 8,0,0,Rudi Johnson left tackle for 3 yards (tackle by Donnie Edwards),5.370,5.150
1,10:25,2,5,SDG 5,6,0,"Jon Kitna pass complete to Chad Ochocinco for 5 yards, touchdown",5.150,7.000
1,,,,SDG 2,7,0,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,7,0,"Shayne Graham kicks off 64 yards, returned by Leon Johnson for 27 yards (tackle by Tory James)",0.000,1.140
1,10:09,1,10,SDG 33,7,0,LaDainian Tomlinson up the middle for 4 yards (tackle by Mark Roman),1.140,1.130
1,9:38,2,6,SDG 37,7,0,LaDainian Tomlinson right tackle for no gain (tackle by Adrian Ross),1.130,0.430
1,8:52,3,6,SDG 37,7,0,Doug Flutie pass incomplete intended for Reche Caldwell,0.430,-0.910
1,8:44,4,6,SDG 37,7,0,Darren Bennett punts 51 yards,-0.910,0.350
1,8:34,1,10,CIN 12,7,0,Corey Dillon up the middle for 39 yards (tackle by Jerry Wilson),-0.350,2.320
1,8:07,1,10,SDG 49,7,0,Jon Kitna pass incomplete intended for Chad Ochocinco,2.320,1.780
1,8:03,2,10,SDG 49,7,0,Jon Kitna pass incomplete intended for Peter Warrick,1.780,1.090
1,7:58,3,10,SDG 49,7,0,Jon Kitna pass complete to Chad Ochocinco for 22 yards,1.090,3.780
1,7:27,1,10,SDG 27,7,0,Corey Dillon right tackle for 2 yards (tackle by Jason Fisk and Adrian Dingle),3.780,3.500
1,6:46,2,8,SDG 25,7,0,Corey Dillon left tackle for 2 yards (tackle by Donnie Edwards and Marcellus Wiley),3.500,3.070
1,6:05,3,6,SDG 23,7,0,Jon Kitna pass complete to Kelley Washington for 9 yards (tackle by Quentin Jammer),3.070,4.650
1,5:38,1,10,SDG 14,7,0,Corey Dillon right tackle for -1 yards (tackle by Zeke Moreno and Marcellus Wiley),4.650,3.850
1,4:59,2,11,SDG 15,7,0,Jon Kitna pass complete to Peter Warrick for 9 yards (tackle by Jerry Wilson),3.850,4.730
1,4:16,3,2,SDG 6,7,0,Corey Dillon up the middle for 2 yards (tackle by Zeke Moreno and Marcellus Wiley),4.730,6.280
1,3:49,1,4,SDG 4,7,0,Jon Kitna pass incomplete intended for Chad Ochocinco,6.280,5.340
1,3:44,2,4,SDG 4,7,0,Jon Kitna pass incomplete intended for Chad Ochocinco,5.340,4.490
1,3:40,3,4,SDG 4,13,0,"Jon Kitna pass complete to Chad Ochocinco for 4 yards, touchdown",4.490,7.000
1,,,,SDG 2,14,0,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,14,0,"Shayne Graham kicks off 66 yards, returned by Leon Johnson for 26 yards (tackle by Brandon Bennett)",0.000,0.940
1,3:28,1,10,SDG 30,14,0,Doug Flutie pass incomplete intended for LaDainian Tomlinson,0.940,0.390
1,3:25,2,10,SDG 30,14,0,LaDainian Tomlinson up the middle for 38 yards (tackle by Tory James),0.390,3.450
1,2:52,1,10,CIN 32,14,0,LaDainian Tomlinson up the middle for no gain (tackle by Tony Williams),3.450,2.900
1,2:08,2,10,CIN 32,14,0,Doug Flutie sacked by Tory James for -1 yards,2.900,2.080
1,1:33,3,11,CIN 33,14,0,Doug Flutie pass incomplete intended for LaDainian Tomlinson,2.080,1.150
1,1:27,4,11,CIN 33,14,0,"Doug Flutie up the middle for 11 yards (tackle by Artrell Hawkins). Penalty on Kassim Osgood: Unnecessary Roughness, 15 yards",1.150,3.120
1,1:27,1,10,CIN 37,14,0,LaDainian Tomlinson up the middle for no gain (tackle by Artrell Hawkins and Adrian Ross),3.120,2.570
1,1:27,2,10,CIN 37,14,6,"Doug Flutie pass complete to David Boston for 37 yards, touchdown",2.570,7.000
1,,,,CIN 2,14,7,Steve Christie kicks extra point good,0.000,0.000
1,,,,SDG 30,14,7,"Steve Christie kicks off 65 yards, returned by Brandon Bennett for 27 yards (tackle by Jesse Chatman)",0.000,1.070
1,0:03,1,10,CIN 32,14,7,Rudi Johnson up the middle for 15 yards (tackle by Terrence Kiel),1.070,2.060
Quarter,Time,Down,ToGo,Location,CIN,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CIN 47,14,7,Jon Kitna pass incomplete intended for Chad Ochocinco,2.060,1.520
2,14:57,2,10,CIN 47,14,7,"Jon Kitna pass complete to Peter Warrick for no gain. Penalty on Willie Anderson: Chop Block, 15 yards (no play)",1.520,-0.510
2,14:33,2,25,CIN 32,14,7,Jon Kitna pass complete to Rudi Johnson for 11 yards (tackle by Sammy Davis),-0.510,0.300
2,14:02,3,14,CIN 43,14,7,Jon Kitna pass incomplete intended for Brandon Bennett,0.300,-0.520
