Quarter,Time,Tm,Detail,CIN,SDG
1.0,10:15,Bengals,Chad Johnson 5 yard pass from Jon Kitna (Shayne Graham kick),7,0
,3:35,Bengals,Chad Johnson 4 yard pass from Jon Kitna (Shayne Graham kick),14,0
,0:11,Chargers,David Boston 37 yard pass from Doug Flutie (Steve Christie kick),14,7
2.0,9:36,Chargers,Steve Christie 48 yard field goal,14,10
,4:05,Chargers,Steve Christie 26 yard field goal,14,13
,1:25,Bengals,Chad Johnson 12 yard pass from Jon Kitna (Shayne Graham kick),21,13
,0:11,Bengals,Kelley Washington 4 yard pass from Jon Kitna (Shayne Graham kick),28,13
3.0,2:23,Bengals,Shayne Graham 37 yard field goal,31,13
4.0,14:54,Chargers,David Boston 26 yard pass from Doug Flutie (Steve Christie kick),31,20
,5:26,Bengals,Shayne Graham 47 yard field goal,34,20
,3:04,Chargers,LaDainian Tomlinson 6 yard rush (Steve Christie kick),34,27
