Unnamed: 0,CIN,SDG
First Downs,33,17
Rush-Yds-TDs,47-210-0,20-118-1
Cmp-Att-Yd-TD-INT,24-38-243-4-0,15-33-210-2-0
Sacked-Yards,1-9,2-3
Net Pass Yards,234,207
Total Yards,444,325
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,6-80,7-69
Third Down Conv.,13-20,3-11
Fourth Down Conv.,0-0,1-2
Time of Possession,38:18,21:42
