Quarter,Time,Tm,Detail,ATL,TEN
2.0,8:42,Titans,Kendall Wright 19 yard pass from Zach Mettenberger (Ryan Succop kick),0,7
,2:31,Falcons,Matt Bryant 27 yard field goal,3,7
3.0,5:56,Falcons,Julio Jones 8 yard pass from Matt Ryan (Matt Bryant kick),10,7
