Unnamed: 0,ATL,TEN
First Downs,21,15
Rush-Yds-TDs,31-127-0,16-77-0
Cmp-Att-Yd-TD-INT,22-38-251-1-2,22-35-187-1-2
Sacked-Yards,0-0,1-8
Net Pass Yards,251,179
Total Yards,378,256
Fumbles-Lost,1-0,1-0
Turnovers,2,2
Penalties-Yards,6-53,5-45
Third Down Conv.,5-14,1-9
Fourth Down Conv.,0-2,0-1
Time of Possession,34:45,25:15
