Unnamed: 0,PHI,STL
First Downs,11,24
Rush-Yds-TDs,23-81-0,44-209-1
Cmp-Att-Yd-TD-INT,8-23-82-1-0,20-28-225-1-0
Sacked-Yards,1-8,2-15
Net Pass Yards,74,210
Total Yards,155,419
Fumbles-Lost,1-1,3-1
Turnovers,1,1
Penalties-Yards,13-95,7-55
Third Down Conv.,4-11,7-15
Fourth Down Conv.,0-0,0-1
Time of Possession,18:16,41:44
