Quarter,Time,Tm,Detail,PHI,STL
1.0,9:03,Rams,Steven Jackson 5 yard rush (Jeff Wilkins kick),0,7
,1:38,Eagles,Freddie Mitchell 7 yard pass from Donovan McNabb (David Akers kick),7,7
2.0,0:42,Rams,Jeff Wilkins 28 yard field goal,7,10
3.0,7:38,Rams,Isaac Bruce 7 yard pass from Marc Bulger (Jeff Wilkins kick),7,17
4.0,5:24,Rams,Jeff Wilkins 29 yard field goal,7,20
