Quarter,Time,Down,ToGo,Location,PHI,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 65 yards, returned by Aveion Cason for 22 yards (tackle by Thomas Tapeh)",0.000,0.740
1,14:55,1,10,STL 27,0,0,Marshall Faulk left guard for 3 yards (tackle by Dhani Jones),0.740,0.600
1,14:17,2,7,STL 30,0,0,Steven Jackson left end for 28 yards (tackle by Roderick Hood),0.600,2.790
1,13:47,1,10,PHI 42,0,0,Steven Jackson right tackle for 3 yards (tackle by Sam Rayburn),2.790,2.650
1,13:02,2,7,PHI 39,0,0,Steven Jackson left guard for 8 yards (tackle by Lito Sheppard),2.650,3.510
1,12:25,1,10,PHI 31,0,0,Steven Jackson right end for no gain (tackle by Dhani Jones),3.510,2.970
1,11:40,2,10,PHI 31,0,0,Marshall Faulk right tackle for 6 yards (tackle by Corey Simon),2.970,3.070
1,11:00,3,4,PHI 25,0,0,Marshall Faulk right tackle for 12 yards (tackle by Sheldon Brown). Penalty on Hugh Douglas: Defensive Offside (Declined),3.070,4.710
1,10:31,1,10,PHI 13,0,0,Marshall Faulk left guard for 6 yards (tackle by Paul Grasmanis),4.710,5.150
1,9:52,2,4,PHI 7,0,0,Steven Jackson right tackle for 2 yards (tackle by Paul Grasmanis and Dhani Jones),5.150,4.780
1,9:12,3,2,PHI 5,0,6,"Steven Jackson left guard for 5 yards, touchdown",4.780,7.000
1,,,,PHI 2,0,7,Jeff Wilkins kicks extra point good,0.000,0.000
1,,,,STL 30,0,7,"Jeff Wilkins kicks off 59 yards, returned by Roderick Hood for 26 yards (tackle by Antuan Edwards)",0.000,1.400
1,8:58,1,10,PHI 37,0,7,Dorsey Levens left guard for 12 yards (tackle by Jerametrius Butler),1.400,2.190
1,8:22,1,10,PHI 49,0,7,Dorsey Levens left guard for -1 yards (tackle by Leonard Little),2.190,1.510
1,7:43,2,11,PHI 48,0,7,Dorsey Levens left end for 5 yards (tackle by Tommy Polley),1.510,1.490
1,6:59,3,6,STL 47,0,7,Donovan McNabb pass complete to Greg Lewis for 6 yards (tackle by Jerametrius Butler),1.490,2.850
1,6:37,1,10,STL 41,0,7,Dorsey Levens right guard for no gain (tackle by Damione Lewis),2.850,2.310
1,5:57,2,10,STL 41,0,7,Dorsey Levens left end for 4 yards (tackle by Robert W. Thomas),2.310,2.150
1,5:18,3,6,STL 37,0,7,Dorsey Levens right tackle for 7 yards (tackle by Antuan Edwards),2.150,3.580
1,4:36,1,10,STL 30,0,7,Reno Mahe left tackle for 3 yards (tackle by Bryce Fisher and Brian Howard),3.580,3.440
1,3:55,2,7,STL 27,0,7,Reno Mahe right end for -2 yards (tackle by Jimmy Kennedy),3.440,2.480
1,3:11,3,9,STL 29,0,7,Donovan McNabb pass complete to Dorsey Levens for 23 yards (tackle by Adam Archuleta),2.480,5.830
1,2:24,1,6,STL 6,0,7,Dorsey Levens right tackle for -1 yards (tackle by Damione Lewis),5.830,4.760
1,1:43,2,7,STL 7,6,7,"Donovan McNabb pass complete to Freddie Mitchell for 7 yards, touchdown",4.760,7.000
1,,,,STL 2,7,7,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,7,7,"David Akers kicks off 70 yards, returned by Aveion Cason for 31 yards (tackle by J.R. Reed)",0.000,1.000
1,1:32,1,10,STL 31,7,7,Marshall Faulk left guard for 8 yards (tackle by Sheldon Brown and Mark Simoneau),1.000,1.540
1,0:54,2,2,STL 39,7,7,Marc Bulger pass complete to Torry Holt for 12 yards (tackle by Sheldon Brown),1.540,2.320
1,0:18,1,10,PHI 49,7,7,Marc Bulger pass complete to Joey Goodspeed for 4 yards (tackle by Brian Dawkins),2.320,2.320
Quarter,Time,Down,ToGo,Location,PHI,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,PHI 45,7,7,"Penalty on Adam Timmerman: False Start, 5 yards (no play)",2.320,1.650
2,15:00,2,11,STL 50,7,7,Marc Bulger pass complete to Brandon Manumaleuna for 4 yards (tackle by Jeremiah Trotter),1.650,1.490
2,14:34,3,7,PHI 46,7,7,Marc Bulger pass complete to Kevin Curtis for 5 yards (tackle by Brian Dawkins),1.490,0.530
2,13:50,4,2,PHI 41,7,7,Jeff Wilkins pass incomplete intended for Dane Looker (defended by Dexter Wynn). Penalty on Trev Faulk: Ineligible Downfield Pass (Declined),0.530,-1.660
,,,,,,,"PHI challenged the ruling, and the original play was overturned.",,
2,13:39,1,10,PHI 41,7,7,Dorsey Levens right end for 11 yards (tackle by Tommy Polley). Penalty on Grant Williams: Defensive Offside (Declined),1.660,2.390
2,13:12,1,10,STL 48,7,7,Dorsey Levens up the middle for 2 yards (tackle by Leonard Little),2.390,2.120
2,12:43,2,8,STL 46,7,7,Dorsey Levens right tackle for 5 yards (tackle by Jimmy Kennedy),2.120,2.080
2,12:04,3,3,STL 41,7,7,Reno Mahe right end for -1 yards (tackle by DeJuan Groce),2.080,0.460
2,11:34,4,4,STL 42,7,7,Dirk Johnson punts 38 yards,0.460,0.380
2,11:23,1,10,STL 4,7,7,Steven Jackson right end for 5 yards (tackle by Jeremiah Trotter),-0.380,-0.420
2,10:57,2,5,STL 9,7,7,Steven Jackson right end for 6 yards (tackle by Roderick Hood),-0.420,-0.220
2,10:06,1,10,STL 15,7,7,Steven Jackson right end for 43 yards (tackle by Roderick Hood). Penalty on Hugh Douglas: Defensive Offside (Declined),-0.220,2.790
2,8:52,1,10,PHI 42,7,7,Marshall Faulk left tackle for 1 yard (tackle by Jerome McDougle),2.790,2.380
2,8:52,2,9,PHI 41,7,7,Marshall Faulk left end for 2 yards (tackle by Mark Simoneau),2.380,1.950
2,8:14,3,7,PHI 39,7,7,Marc Bulger pass complete to Isaac Bruce for 8 yards (tackle by Roderick Hood),1.950,3.510
2,7:26,1,10,PHI 31,7,7,Marc Bulger pass complete to Isaac Bruce for 6 yards (tackle by Matt Ware),3.510,3.780
2,6:46,2,4,PHI 25,7,7,Marc Bulger pass incomplete intended for Torry Holt,3.780,3.070
2,6:41,3,4,PHI 25,7,7,Marc Bulger pass incomplete intended for Dane Looker,3.070,1.880
2,6:36,4,4,PHI 25,7,7,Jeff Wilkins 44 yard field goal no good,1.880,-1.200
2,6:31,1,10,PHI 34,7,7,"Koy Detmer pass incomplete intended for Josh Parry. Penalty on Leonard Little: Defensive Offside, 5 yards (no play)",1.200,1.930
2,6:28,1,5,PHI 39,7,7,Koy Detmer pass incomplete intended for Josh Parry,1.930,1.330
2,6:22,2,5,PHI 39,7,7,Reno Mahe left end for 1 yard (tackle by Bryce Fisher),1.330,0.760
2,5:59,3,4,PHI 40,7,7,Koy Detmer pass incomplete intended for Billy McMullen (defended by Jerametrius Butler),0.760,-0.720
2,5:54,4,4,PHI 40,7,7,"Dirk Johnson punts 40 yards, fair catch by Shaun McDonald",-0.720,-0.280
2,5:47,1,10,STL 20,7,7,"Penalty on Adam Timmerman: False Start, 5 yards (no play)",0.280,-0.310
2,5:47,1,15,STL 15,7,7,Steven Jackson up the middle for -1 yards (tackle by Darwin Walker),-0.310,-1.180
2,5:07,2,16,STL 14,7,7,Marc Bulger pass complete to Torry Holt for 16 yards (tackle by J.R. Reed),-1.180,0.940
2,4:25,1,10,STL 30,7,7,Steven Jackson up the middle for 5 yards (tackle by Mike Labinjo),0.940,1.070
2,3:50,2,5,STL 35,7,7,Steven Jackson right tackle for 4 yards (tackle by Michael Lewis),1.070,0.890
2,3:06,3,1,STL 39,7,7,Steven Jackson left tackle for 6 yards (tackle by Mike Labinjo),0.890,1.930
