Quarter,Time,Down,ToGo,Location,GNB,JAX,Detail,EPB,EPA
1,8:11,3,19,GNB 30,0,6,"David Garrard pass complete deep middle to Dennis Northcutt for 30 yards, touchdown",1.750,7.000
1,,,,GNB 2,0,7,Josh Scobee kicks extra point good,0.000,0.000
1,,,,JAX 30,0,7,"Josh Scobee kicks off 61 yards, returned by Will Blackmon for 28 yards (tackle by Pierson Prioleau). Penalty on Aaron Rouse: Offensive Holding, 10 yards",0.000,-0.060
1,7:56,1,10,GNB 17,0,7,Aaron Rodgers pass complete short right to Ryan Grant for 5 yards (tackle by Clint Ingram),-0.060,0.210
1,7:26,2,5,GNB 22,0,7,Ryan Grant right end for -5 yards (tackle by Rob Meier),0.210,-1.250
1,6:45,3,10,GNB 17,0,7,Aaron Rodgers pass complete deep left to James Jones for 46 yards (tackle by Drayton Florence),-1.250,3.120
1,6:08,1,10,JAX 37,0,7,Ryan Grant left end for 6 yards (tackle by Reggie Nelson),3.120,3.380
1,5:30,2,4,JAX 31,0,7,Aaron Rodgers pass incomplete short right intended for James Jones (defended by Brian Williams),3.380,2.680
1,5:26,3,4,JAX 31,0,7,Aaron Rodgers pass complete short middle to Donald Driver for 8 yards (tackle by Brian Williams),2.680,4.040
1,4:47,1,10,JAX 23,0,7,Aaron Rodgers pass complete short left to Ryan Grant for 15 yards (tackle by Drayton Florence),4.040,5.370
1,4:04,1,8,JAX 8,0,7,Ryan Grant right end for 3 yards (tackle by Daryl Smith),5.370,5.150
1,3:23,2,5,JAX 5,0,7,Aaron Rodgers pass incomplete short left intended for Jermichael Finley,5.150,4.260
1,3:18,3,5,JAX 5,0,7,Aaron Rodgers pass complete short right to Brandon Jackson for 1 yard (tackle by Reggie Hayward),4.260,3.030
1,2:38,4,4,JAX 4,3,7,Mason Crosby 22 yard field goal good,3.030,3.000
1,,,,GNB 30,3,7,"Mason Crosby kicks off 64 yards, returned by Brian Witherspoon for 20 yards (tackle by Desmond Bishop)",0.000,0.670
1,2:27,1,10,JAX 26,3,7,David Garrard pass complete short left to Richard Angulo for 9 yards (tackle by Nick Collins),0.670,1.350
1,1:56,2,1,JAX 35,3,7,"Maurice Jones-Drew up the middle for no gain (tackle by Mike Montgomery). Penalty on Mike Montgomery: Defensive Offside, 5 yards (no play)",1.350,1.600
1,1:32,1,10,JAX 40,3,7,David Garrard pass complete short right to Greg Estandia for 6 yards (tackle by Brady Poppinga),1.600,1.860
1,0:55,2,4,JAX 46,3,7,David Garrard pass complete short left to Greg Estandia for 19 yards (tackle by Brandon Chillar),1.860,3.250
1,0:19,1,10,GNB 35,3,7,Maurice Jones-Drew up the middle for 2 yards (tackle by Charles Woodson),3.250,2.970
Quarter,Time,Down,ToGo,Location,GNB,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,GNB 33,3,7,David Garrard pass incomplete short right intended for Maurice Jones-Drew,2.970,2.280
2,14:56,3,8,GNB 33,3,7,David Garrard pass incomplete short right intended for Troy Williamson,2.280,1.150
,,,,,,,"GNB challenged the pass completion ruling, and the original play was overturned.",,
2,14:40,4,8,GNB 33,3,7,Josh Scobee 51 yard field goal no good,1.150,-1.660
2,14:35,1,10,GNB 41,3,7,Ryan Grant right end for 4 yards (tackle by Brian Witherspoon),1.660,1.660
2,13:48,2,6,GNB 45,3,7,Aaron Rodgers pass complete short left to Greg Jennings for 7 yards (tackle by Drayton Florence),1.660,2.390
2,13:07,1,10,JAX 48,3,7,Ryan Grant up the middle for 1 yard (tackle by Gerald Sensabaugh),2.390,1.980
2,12:25,2,9,JAX 47,3,7,Ryan Grant for 9 yards (tackle by Gerald Sensabaugh),1.980,3.050
2,11:40,1,10,JAX 38,3,7,"Aaron Rodgers pass incomplete short left intended for Greg Jennings. Penalty on Clint Ingram: Roughing the Passer, 15 yards (no play)",3.050,4.040
2,11:32,1,10,JAX 23,3,7,Aaron Rodgers pass incomplete short right intended for Greg Jennings,4.040,3.500
2,11:24,2,10,JAX 23,3,7,Ryan Grant left end for 1 yard (tackle by Drayton Florence and Daryl Smith),3.500,2.940
2,10:38,,,,3,7,Timeout #1 by Green Bay Packers,0.000,2.940
2,10:38,3,9,JAX 22,3,7,Aaron Rodgers pass complete short right to Greg Jennings for 11 yards (tackle by Brian Witherspoon),2.940,4.840
2,10:04,1,10,JAX 11,3,7,Ryan Grant up the middle for 4 yards (tackle by Drayton Florence),4.840,4.890
2,9:23,2,6,JAX 7,3,7,Aaron Rodgers up the middle for 3 yards (tackle by Gerald Sensabaugh),4.890,4.670
2,8:37,3,3,JAX 4,9,7,"Aaron Rodgers pass complete short left to Greg Jennings for 4 yards, touchdown. Penalty on Drayton Florence: Defensive Pass Interference (Declined)",4.670,7.000
2,,,,JAX 2,10,7,Mason Crosby kicks extra point good,0.000,0.000
2,,,,GNB 30,10,7,"Mason Crosby kicks off 70 yards, returned by Brian Witherspoon for 28 yards (tackle by Jarrett Bush)",0.000,0.810
2,8:28,1,10,JAX 28,10,7,Maurice Jones-Drew left end for 6 yards (tackle by Brady Poppinga),0.810,1.070
2,7:52,2,4,JAX 34,10,7,David Garrard pass complete short left to Greg Estandia for 6 yards (tackle by Tramon Williams),1.070,1.600
2,7:22,1,10,JAX 40,10,7,David Garrard pass complete short right to Reggie Williams for 6 yards (tackle by Tramon Williams),1.600,1.860
2,6:46,2,4,JAX 46,10,7,Maurice Jones-Drew up the middle for 3 yards (tackle by Brady Poppinga),1.860,1.550
2,6:15,3,1,JAX 49,10,7,David Garrard up the middle for 2 yards (tackle by Charles Woodson),1.550,2.320
2,5:38,1,10,GNB 49,10,7,"Maurice Jones-Drew left end for 3 yards (tackle by Nick Collins). Penalty on Marcedes Lewis: Offensive Holding, 10 yards (no play)",2.320,1.660
2,5:09,1,20,JAX 41,10,7,David Garrard pass complete short middle to Richard Angulo for 6 yards (tackle by Brady Poppinga),1.660,1.240
2,4:26,2,14,JAX 47,10,7,David Garrard pass incomplete short right intended for Dennis Northcutt (defended by Tramon Williams),1.240,0.560
2,4:18,3,14,JAX 47,10,7,David Garrard pass incomplete deep left intended for Dennis Northcutt,0.560,-0.260
2,4:12,4,14,JAX 47,10,7,"Steve Weatherford punts 53 yards, touchback",-0.260,-0.280
2,4:02,1,10,GNB 20,10,7,Aaron Rodgers pass incomplete short right intended for John Kuhn,0.280,-0.270
2,3:55,2,10,GNB 20,10,7,Aaron Rodgers pass complete deep middle to Donald Driver for 24 yards (tackle by Drayton Florence),-0.270,1.860
2,3:11,1,10,GNB 44,10,7,Ryan Grant up the middle for 4 yards (tackle by Drayton Florence),1.860,1.860
2,2:30,2,6,GNB 48,10,7,Ryan Grant up the middle for 2 yards (tackle by John Henderson),1.860,1.420
2,2:00,3,4,,10,7,Aaron Rodgers pass complete deep right to James Jones for 40 yards (tackle by Reggie Nelson),1.420,4.910
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
2,1:51,1,10,JAX 10,10,7,Aaron Rodgers pass incomplete short right intended for Greg Jennings,4.910,4.190
2,1:43,2,10,JAX 10,10,7,Ryan Grant up the middle for 5 yards (tackle by Daryl Smith),4.190,4.260
2,1:28,,,,10,7,Timeout #1 by Jacksonville Jaguars,0.000,4.260
2,1:28,3,5,JAX 5,10,7,Aaron Rodgers pass complete short middle to Donald Lee for no gain,4.260,3.010
2,1:22,,,,10,7,Timeout #2 by Jacksonville Jaguars,0.000,3.010
2,1:21,4,5,JAX 5,13,7,Mason Crosby 23 yard field goal good,3.010,3.000
2,,,,GNB 30,13,7,"Mason Crosby kicks off 75 yards, touchback",0.000,0.280
2,1:18,1,10,JAX 20,13,7,David Garrard pass complete short right to Maurice Jones-Drew for -1 yards (tackle by Aaron Kampman),0.280,-0.460
2,0:52,2,11,JAX 19,13,7,Maurice Jones-Drew up the middle for 3 yards (tackle by Aaron Kampman),-0.460,-0.690
2,0:45,,,,13,7,Timeout #2 by Green Bay Packers,0.000,-0.690
2,0:45,3,8,JAX 22,13,7,David Garrard pass incomplete short left intended for Marcedes Lewis,-0.690,-1.900
2,0:39,4,8,JAX 22,13,7,"Steve Weatherford punts 42 yards, fair catch by Will Blackmon",-1.900,-1.330
2,0:33,1,10,GNB 36,13,7,Aaron Rodgers sacked by Reggie Hayward for -5 yards,1.330,0.120
Quarter,Time,Down,ToGo,Location,GNB,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 30,13,7,"Josh Scobee kicks off 71 yards, returned by Will Blackmon for 19 yards (tackle by Troy Williamson)",0.000,0.040
3,14:54,1,10,GNB 18,13,7,Aaron Rodgers pass incomplete deep middle intended for Greg Jennings (defended by Brian Williams),0.040,-0.490
3,14:47,2,10,GNB 18,13,7,Ryan Grant right end for 5 yards (tackle by Clint Ingram),-0.490,-0.530
3,14:05,3,5,GNB 23,13,7,Aaron Rodgers pass complete short right to Donald Driver for 13 yards (tackle by Brian Williams),-0.530,1.330
3,13:25,1,10,GNB 36,13,7,Aaron Rodgers right end for 6 yards (tackle by Daryl Smith),1.330,1.600
3,12:51,2,4,GNB 42,13,7,Ryan Grant up the middle for -4 yards (tackle by Clint Ingram),1.600,0.370
3,12:08,3,8,GNB 38,13,7,Aaron Rodgers sacked by Quentin Groves for -11 yards,0.370,-1.570
3,11:43,4,19,GNB 27,13,7,"Jeremy Kapinos punts 48 yards, fair catch by Brian Witherspoon",-1.570,-0.610
3,11:36,1,10,JAX 25,13,7,David Garrard pass incomplete short left intended for Richard Angulo,0.610,0.060
3,11:29,2,10,JAX 25,13,7,David Garrard pass complete deep right to Dennis Northcutt for 35 yards (tackle by Tramon Williams),0.060,2.920
3,10:57,1,10,GNB 40,13,7,David Garrard sacked by Charles Woodson for -1 yards,2.920,2.240
3,10:22,2,11,GNB 41,13,7,"David Garrard pass complete short right to Greg Estandia for 5 yards (tackle by Nick Collins). Penalty on Dennis Norman: Clipping, 15 yards",2.240,0.890
3,9:55,2,21,JAX 49,13,7,David Garrard pass incomplete short left intended for Reggie Williams,0.890,0.230
3,9:50,3,21,JAX 49,13,7,David Garrard pass complete short right to Maurice Jones-Drew for 2 yards (tackle by A.J. Hawk),0.230,0.000
3,9:26,4,19,GNB 49,13,7,"Steve Weatherford punts 49 yards, touchback",0.000,-0.280
3,9:17,1,10,GNB 20,13,7,Aaron Rodgers pass complete short middle to Ryan Grant for 12 yards (tackle by Reggie Nelson),0.280,1.070
3,8:42,1,10,GNB 32,13,7,Ryan Grant up the middle for 2 yards (tackle by Daryl Smith),1.070,0.800
3,8:06,2,8,GNB 34,13,7,Brandon Jackson right end for 6 yards (tackle by Justin Durant),0.800,0.890
3,7:24,3,2,GNB 40,13,7,Aaron Rodgers up the middle for 2 yards (tackle by Paul Spicer),0.890,1.730
3,6:43,1,10,GNB 42,13,7,Aaron Rodgers pass complete short right to Jordy Nelson for 9 yards (tackle by Brian Witherspoon),1.730,2.400
3,5:58,2,1,JAX 49,13,7,Ryan Grant right end for -1 yards (tackle by Derek Landri),2.400,1.550
3,5:13,3,2,,13,7,Aaron Rodgers pass incomplete deep right intended for Greg Jennings,1.550,-0.060
3,5:07,4,2,,13,7,"Jeremy Kapinos punts 39 yards, returned by Brian Witherspoon for no gain. Penalty on Reggie Hayward: Offensive Holding, 5 yards",-0.060,0.380
3,4:59,1,10,JAX 6,13,7,"Penalty on Tony Pashos: False Start, 3 yards (no play)",-0.380,-0.490
3,4:59,1,13,JAX 3,13,7,Maurice Jones-Drew left end for 7 yards (tackle by Tramon Williams),-0.490,-0.490
3,4:20,2,6,JAX 10,13,7,David Garrard pass complete short left to Marcedes Lewis for 5 yards (tackle by Brady Poppinga),-0.490,-0.370
3,3:40,3,1,JAX 15,13,7,David Garrard pass incomplete short left intended for Greg Estandia,-0.370,-2.440
,,,,,,,"GNB challenged the pass completion ruling, and the original play was overturned.",,
3,3:18,4,1,JAX 15,13,7,"Steve Weatherford punts 54 yards, returned by Will Blackmon for 5 yards (tackle by Pierson Prioleau)",-2.440,-1.330
3,3:06,1,10,GNB 36,13,7,Aaron Rodgers pass incomplete deep left intended for Greg Jennings,1.330,0.790
3,2:58,2,10,GNB 36,13,7,Aaron Rodgers pass complete short left to Ruvell Martin for 9 yards (tackle by Clint Ingram),0.790,1.290
3,2:20,3,1,GNB 45,13,7,Ryan Grant right end for 2 yards (tackle by Daryl Smith),1.290,2.060
3,1:41,1,10,GNB 47,13,7,Ryan Grant right end for 9 yards (tackle by John Henderson),2.060,2.730
3,0:59,2,1,JAX 44,13,7,Ryan Grant up the middle for no gain (tackle by Mike Peterson),2.730,2.020
3,0:18,3,1,JAX 44,13,7,Ryan Grant up the middle for no gain (tackle by Clint Ingram),2.020,0.330
Quarter,Time,Down,ToGo,Location,GNB,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,1,JAX 44,13,7,John Kuhn up the middle for no gain (tackle by Paul Spicer),0.330,-1.860
4,14:54,1,10,JAX 44,13,7,"David Garrard pass incomplete deep middle intended for Marcedes Lewis. Penalty on Brady Poppinga: Defensive Pass Interference, 15 yards (no play)",1.860,2.850
4,14:49,1,10,GNB 41,13,7,David Garrard pass incomplete deep left intended for Troy Williamson,2.850,2.310
4,14:41,2,10,GNB 41,13,7,David Garrard sacked by A.J. Hawk for -8 yards,2.310,0.560
4,14:06,3,18,GNB 49,13,7,David Garrard pass complete short left to Dennis Northcutt for 17 yards (tackle by A.J. Hawk),0.560,1.310
4,13:31,,,,13,7,Timeout #1 by Jacksonville Jaguars,0.000,1.310
4,13:31,4,1,GNB 32,13,7,David Garrard up the middle for 4 yards (tackle by A.J. Hawk),1.310,3.710
4,12:55,1,10,GNB 28,13,7,David Garrard pass complete short right to Marcedes Lewis for 2 yards (tackle by Brady Poppinga),3.710,3.440
4,12:13,2,8,GNB 26,13,7,David Garrard pass complete short left to Reggie Williams for 6 yards (tackle by Brady Poppinga),3.440,3.530
4,11:35,3,2,GNB 20,13,7,David Garrard pass complete short left to Reggie Williams for 6 yards (tackle by Tramon Williams),3.530,4.650
4,10:51,1,10,GNB 14,13,7,David Garrard pass incomplete short right intended for Maurice Jones-Drew,4.650,4.000
4,10:45,2,10,GNB 14,13,13,"David Garrard pass complete short middle to Maurice Jones-Drew for 14 yards, touchdown",4.000,7.000
4,,,,GNB 2,13,14,Josh Scobee kicks extra point good,0.000,0.000
4,,,,JAX 30,13,14,"Josh Scobee kicks off 65 yards, returned by Jordy Nelson for 21 yards (tackle by Pierson Prioleau)",0.000,0.670
4,10:32,1,10,GNB 26,13,14,Aaron Rodgers left end for 7 yards (tackle by Mike Peterson),0.670,1.070
4,9:51,2,3,GNB 33,13,14,Aaron Rodgers pass complete deep right to James Jones for 34 yards (tackle by Brian Williams),1.070,3.380
4,9:16,1,10,JAX 33,13,14,Ryan Grant up the middle for 7 yards (tackle by Clint Ingram),3.380,3.780
4,8:40,2,3,JAX 26,13,14,Aaron Rodgers pass incomplete short right intended for Ryan Grant,3.780,3.070
4,8:31,,,,13,14,Timeout #1 by Green Bay Packers,0.000,3.070
4,8:31,3,3,JAX 26,13,14,Aaron Rodgers for 4 yards (tackle by Reggie Nelson),3.070,4.110
4,7:54,1,10,JAX 22,13,14,Ryan Grant up the middle for 2 yards (tackle by Justin Durant and Mike Peterson),4.110,3.830
4,7:12,2,8,JAX 20,13,14,"Aaron Rodgers sacked by Reggie Hayward for -8 yards. Aaron Rodgers fumbles (forced by Reggie Hayward), recovered by Tony Moll at JAX-31 and returned for 3 yards",3.830,2.080
4,6:23,3,16,JAX 28,13,14,Aaron Rodgers pass complete short middle to Donald Lee for 8 yards (tackle by Quentin Groves),2.080,2.120
4,5:40,4,8,JAX 20,16,14,Mason Crosby 38 yard field goal good,2.120,3.000
4,,,,GNB 30,16,14,"Mason Crosby kicks off 67 yards, returned by Brian Witherspoon for 17 yards (tackle by Jarrett Bush)",0.000,0.280
4,5:29,1,10,JAX 20,16,14,David Garrard pass complete deep left to Dennis Northcutt for 41 yards (tackle by Al Harris),0.280,2.980
4,4:47,1,10,GNB 39,16,14,Maurice Jones-Drew left end for 15 yards (tackle by Charles Woodson),2.980,3.970
4,4:05,1,10,GNB 24,16,14,Maurice Jones-Drew up the middle for 2 yards (tackle by Aaron Kampman),3.970,3.700
4,3:25,2,8,GNB 22,16,14,David Garrard pass complete short left to Dennis Northcutt for 4 yards (tackle by A.J. Hawk),3.700,3.570
4,2:42,3,4,GNB 18,16,14,"David Garrard up the middle for 16 yards (tackle by Will Blackmon). David Garrard fumbles (forced by Will Blackmon), recovered by David Garrard at GNB-2",3.570,6.740
4,2:00,1,2,GNB 2,16,20,"Maurice Jones-Drew up the middle for 2 yards, touchdown",6.740,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
4,,,,,16,20,"Two Point Attempt: Maurice Jones-Drew up the middle, conversion fails",1.000,-1.000
4,,,,JAX 30,16,20,"Josh Scobee kicks off 70 yards, returned by Will Blackmon for 16 yards (tackle by Brian Iwuh)",0.000,-0.140
4,1:50,1,10,GNB 16,16,20,Aaron Rodgers pass incomplete deep left intended for Greg Jennings (defended by Gerald Sensabaugh),-0.140,-0.660
4,1:44,2,10,GNB 16,16,20,Aaron Rodgers pass incomplete short left intended for Brandon Jackson,-0.660,-1.320
4,1:40,3,10,GNB 16,16,20,Aaron Rodgers pass complete short left to Donald Driver for 12 yards (tackle by Brian Williams),-1.320,0.810
4,1:14,1,10,GNB 28,16,20,Aaron Rodgers pass complete short right to James Jones for 12 yards (tackle by Reggie Nelson),0.810,1.600
4,0:53,1,10,GNB 40,16,20,Aaron Rodgers pass complete short left to Donald Driver for 8 yards (tackle by Justin Durant),1.600,2.130
4,0:46,,,,16,20,Timeout #2 by Green Bay Packers,0.000,2.130
4,0:46,2,2,GNB 48,16,20,Aaron Rodgers pass incomplete deep middle intended for Donald Lee is intercepted by Reggie Nelson at JAX-27,2.130,-0.740
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,0:40,1,10,JAX 27,16,20,David Garrard kneels for -1 yards,0.740,0.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
