Unnamed: 0,GNB,JAX
First Downs,18,18
Rush-Yds-TDs,28-84-0,19-94-1
Cmp-Att-Yd-TD-INT,20-32-278-1-1,21-33-238-2-0
Sacked-Yards,3-24,2-9
Net Pass Yards,254,229
Total Yards,338,323
Fumbles-Lost,1-0,1-0
Turnovers,1,0
Penalties-Yards,3-30,6-58
Third Down Conv.,10-16,6-12
Fourth Down Conv.,0-1,1-1
Time of Possession,32:03,27:57
