Quarter,Time,Tm,Detail,GNB,JAX
1.0,8:03,Jaguars,Dennis Northcutt 30 yard pass from David Garrard (Josh Scobee kick),0,7
,2:33,Packers,Mason Crosby 22 yard field goal,3,7
2.0,8:33,Packers,Greg Jennings 4 yard pass from Aaron Rodgers (Mason Crosby kick),10,7
,1:18,Packers,Mason Crosby 23 yard field goal,13,7
4.0,10:39,Jaguars,Maurice Jones-Drew 14 yard pass from David Garrard (Josh Scobee kick),13,14
,5:35,Packers,Mason Crosby 38 yard field goal,16,14
,1:56,Jaguars,Maurice Jones-Drew 2 yard rush (run failed),16,20
