Unnamed: 0,CLE,CIN
First Downs,24,25
Rush-Yds-TDs,35-84-1,20-129-1
Cmp-Att-Yd-TD-INT,19-26-258-4-0,27-46-255-2-1
Sacked-Yards,0-0,1-12
Net Pass Yards,258,243
Total Yards,342,372
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,7-61,13-96
Third Down Conv.,5-10,4-12
Fourth Down Conv.,1-1,2-4
Time of Possession,32:04,27:56
