Quarter,Time,Down,ToGo,Location,CAR,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,SFO 25,0,0,Matt Breida left tackle for 1 yard (tackle by Dontari Poe),0.610,0.200
1,14:26,2,9,SFO 26,0,0,Jimmy Garoppolo pass complete short right to Emmanuel Sanders for 4 yards (tackle by James Bradberry),0.200,0.040
1,13:46,3,5,SFO 30,0,0,Jimmy Garoppolo pass complete short middle to George Kittle for 7 yards (tackle by Eric Reid),0.040,1.400
1,13:08,1,10,SFO 37,0,0,Jimmy Garoppolo pass complete short right to George Kittle for 11 yards (tackle by Luke Kuechly and James Bradberry),1.400,2.130
1,12:29,1,10,SFO 48,0,0,Matt Breida up the middle for 11 yards (tackle by Luke Kuechly),2.130,2.850
1,11:54,1,10,CAR 41,0,0,Jimmy Garoppolo pass incomplete deep left intended for Emmanuel Sanders,2.850,2.310
1,11:49,2,10,CAR 41,0,0,Tevin Coleman left end for 22 yards (tackle by Tre Boston),2.310,4.310
1,11:10,1,10,CAR 19,0,0,Jimmy Garoppolo pass complete short middle to Deebo Samuel for 2 yards (tackle by Eric Reid),4.310,4.030
1,10:33,2,8,CAR 17,0,0,Jimmy Garoppolo pass complete short middle to Matt Breida for 15 yards (tackle by Eric Reid),4.030,6.740
1,9:53,1,2,CAR 2,0,0,Matt Breida up the middle for -2 yards (tackle by Eric Reid),6.740,5.340
1,9:18,2,4,CAR 4,0,6,"Jimmy Garoppolo pass complete short left to Emmanuel Sanders for 4 yards, touchdown",5.340,7.000
1,9:14,,,CAR 15,0,7,Robbie Gould kicks extra point good,0.000,0.000
1,9:14,,,SFO 35,0,7,"Mitch Wishnowsky kicks off 66 yards, returned by Reggie Bonnafon for 24 yards (tackle by Raheem Mostert and Marcell Harris)",0.000,0.480
1,9:08,1,10,CAR 23,0,7,Kyle Allen pass complete short right to Christian McCaffrey for 5 yards (tackle by K'Waun Williams),0.480,0.610
1,8:34,2,5,CAR 28,0,7,Christian McCaffrey up the middle for 2 yards (tackle by DeForest Buckner and D.J. Jones),0.610,0.170
1,7:57,3,3,CAR 30,0,7,Kyle Allen sacked by Nick Bosa for -7 yards,0.170,-1.830
1,7:14,4,10,CAR 23,0,7,"Michael Palardy punts 50 yards, returned by Richie James for 11 yards (tackle by Rashaan Gaulden and Jordan Kunaszyk)",-1.830,-1.470
1,7:03,1,10,SFO 38,0,7,Jimmy Garoppolo pass short left intended for George Kittle is intercepted by Luke Kuechly at SF-42 and returned for 1 yard,1.470,-2.850
1,6:59,1,10,SFO 41,0,7,Christian McCaffrey right end for 6 yards (tackle by Fred Warner and Kwon Alexander),2.850,3.120
1,6:22,2,4,SFO 35,0,7,Kyle Allen pass complete short right to Greg Olsen for 9 yards (tackle by Richard Sherman),3.120,3.840
1,5:53,1,10,SFO 26,0,7,Kyle Allen pass complete short middle to D.J. Moore for 5 yards (tackle by Fred Warner),3.840,3.970
1,5:15,2,5,SFO 21,0,7,Kyle Allen pass incomplete deep left intended for Curtis Samuel,3.970,3.270
1,5:10,3,5,SFO 21,0,7,Kyle Allen sacked by Arik Armstead for -2 yards,3.270,1.930
1,4:28,4,7,SFO 23,3,7,Joey Slye 41 yard field goal good,1.930,3.000
1,4:23,,,CAR 35,3,7,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,4:23,1,10,SFO 25,3,7,Matt Breida right guard for -1 yards (tackle by Bruce Irvin and Kyle Love),0.610,-0.070
1,3:52,2,11,SFO 24,3,7,Jimmy Garoppolo pass complete short middle to George Kittle for 12 yards (tackle by Eric Reid and Shaq Thompson),-0.070,1.330
1,3:11,1,10,SFO 36,3,7,Tevin Coleman right tackle for 2 yards (tackle by Vernon Butler),1.330,1.060
1,2:32,2,8,SFO 38,3,7,"Jimmy Garoppolo pass complete deep left to George Kittle for 29 yards (tackle by Tre Boston). Penalty on Tre Boston: Unnecessary Roughness, 15 yards",1.060,4.370
1,2:02,1,10,CAR 18,3,7,Jimmy Garoppolo pass complete short right to Deebo Samuel for 9 yards (tackle by Marquis Haynes and Shaq Thompson),4.370,5.420
1,1:21,2,1,CAR 9,3,7,"Jimmy Garoppolo pass complete short left to George Kittle for 9 yards. Penalty on Deebo Samuel: Offensive Pass Interference, 10 yards (no play)",5.420,3.670
1,1:15,2,11,CAR 19,3,13,"Tevin Coleman up the middle for 19 yards, touchdown",3.670,7.000
1,1:09,,,CAR 15,3,14,Robbie Gould kicks extra point good,0.000,0.000
1,1:09,,,SFO 35,3,14,"Mitch Wishnowsky kicks off 61 yards, muffed catch by Reggie Bonnafon returned by Reggie Bonnafon for 1 yard (tackle by Raheem Mostert)",0.000,-0.380
1,1:05,1,10,CAR 10,3,14,Christian McCaffrey left tackle for 1 yard (tackle by Kwon Alexander),-0.380,-0.710
1,0:27,2,9,CAR 11,3,14,Kyle Allen pass complete short middle to D.J. Moore for 10 yards (tackle by K'Waun Williams),-0.710,0.340
Quarter,Time,Down,ToGo,Location,CAR,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CAR 21,3,14,Kyle Allen pass complete short right to Christian McCaffrey for 4 yards (tackle by Fred Warner and Solomon Thomas),0.340,0.340
2,14:20,2,6,CAR 25,3,14,"Kyle Allen pass complete short right to Greg Olsen for 10 yards (tackle by Richard Sherman). Penalty on Dennis Daley: Ineligible Downfield Pass, 5 yards (no play)",0.340,-0.340
2,13:52,2,11,CAR 20,3,14,Kyle Allen pass short left intended for Curtis Samuel is intercepted by Emmanuel Moseley at CAR-30 and returned for 3 yards,-0.340,-3.780
2,13:46,1,10,CAR 27,3,14,Matt Breida left end for 17 yards (tackle by Tre Boston),3.780,4.910
2,13:21,1,10,CAR 10,3,14,Matt Breida left tackle for no gain (tackle by Luke Kuechly and Mario Addison),4.910,4.190
2,12:48,2,10,CAR 10,3,20,"Jimmy Garoppolo pass complete short left to Tevin Coleman for 10 yards, touchdown",4.190,7.000
2,12:43,,,CAR 15,3,21,Robbie Gould kicks extra point good,0.000,0.000
2,12:43,,,SFO 35,3,21,"Mitch Wishnowsky kicks off 62 yards, returned by Reggie Bonnafon for 35 yards (tackle by Mitch Wishnowsky). Penalty on Mitch Wishnowsky: Lowering the Head to Initiate Contact, 15 yards",0.000,2.460
2,12:37,1,10,SFO 47,3,21,"Christian McCaffrey up the middle for 43 yards (tackle by Jimmie Ward). Penalty on Trai Turner: Offensive Holding, 10 yards (no play)",2.460,1.800
2,12:06,1,20,CAR 43,3,21,Kyle Allen pass complete short right to Christian McCaffrey for 5 yards (tackle by Kwon Alexander),1.800,1.240
2,11:26,2,15,CAR 48,3,21,Kyle Allen sacked by D.J. Jones for -10 yards,1.240,-0.760
2,10:37,3,25,CAR 38,3,21,"Penalty on CAR: Delay of Game, 5 yards (no play)",-0.760,-1.420
2,10:27,3,30,CAR 33,3,21,Christian McCaffrey up the middle for 8 yards (tackle by Jaquiski Tartt),-1.420,-0.650
2,9:49,4,22,CAR 41,3,21,"Michael Palardy punts 40 yards, returned by Richie James for 14 yards (tackle by Reggie Bonnafon and Colin Jones)",-0.650,-1.140
2,9:39,1,10,SFO 33,3,21,Jimmy Garoppolo pass complete short middle to Kendrick Bourne for 12 yards (tackle by Tre Boston),1.140,1.930
2,9:18,1,10,SFO 45,3,21,Matt Breida up the middle for 3 yards (tackle by Luke Kuechly),1.930,1.790
2,8:57,2,7,SFO 48,3,21,"Penalty on Jimmy Garoppolo: False Start, 5 yards (no play)",1.790,1.110
2,8:47,2,12,SFO 43,3,21,Matt Breida left end for 1 yard (tackle by Donte Jackson),1.110,0.560
2,8:12,3,11,SFO 44,3,21,Jimmy Garoppolo pass complete short middle to Emmanuel Sanders for 13 yards (tackle by Tre Boston),0.560,2.720
2,7:39,1,10,CAR 43,3,21,Tevin Coleman left end for no gain (tackle by Luke Kuechly),2.720,2.180
2,7:01,2,10,CAR 43,3,21,Jimmy Garoppolo sacked by Eric Reid for -6 yards. Penalty on Justin Skule: Offensive Holding (Declined),2.180,0.700
2,6:37,3,16,CAR 49,3,21,Jimmy Garoppolo pass incomplete deep left intended for Dante Pettis,0.700,0.000
2,6:32,4,16,CAR 49,3,21,"Mitch Wishnowsky punts 42 yards, muffed catch by Brandon Zylstra, recovered by Brandon Zylstra at CAR-7, returned by Brandon Zylstra for no gain (tackle by Tarvarius Moore)",0.000,0.380
2,6:24,1,10,CAR 7,3,21,Christian McCaffrey up the middle for 4 yards (tackle by Fred Warner),-0.380,-0.490
2,5:47,2,6,CAR 11,3,21,Kyle Allen pass complete short right to Jarius Wright for 2 yards (tackle by Richard Sherman),-0.490,-0.720
2,5:16,3,4,CAR 13,3,21,Kyle Allen pass complete short left to Christian McCaffrey for 24 yards (tackle by Nick Bosa),-0.720,1.400
2,4:47,1,10,CAR 37,3,21,Kyle Allen pass incomplete deep middle intended for Curtis Samuel,1.400,0.860
2,4:40,2,10,CAR 37,3,21,Kyle Allen pass complete short right to D.J. Moore for 5 yards (tackle by Richard Sherman),0.860,0.830
