Quarter,Time,Tm,Detail,CAR,SFO
1.0,9:14,49ers,Emmanuel Sanders 4 yard pass from Jimmy Garoppolo (Robbie Gould kick),0,7
,4:23,Panthers,Joey Slye 41 yard field goal,3,7
,1:09,49ers,Tevin Coleman 19 yard rush (Robbie Gould kick),3,14
2.0,12:43,49ers,Tevin Coleman 10 yard pass from Jimmy Garoppolo (Robbie Gould kick),3,21
,1:53,49ers,Tevin Coleman 48 yard rush (pass failed),3,27
3.0,12:43,Panthers,"Safety, Jimmy Garoppolo sacked in end zone by Bruce Irvin",5,27
,11:15,Panthers,Christian McCaffrey 40 yard rush (Christian McCaffrey run),13,27
,7:15,49ers,Deebo Samuel 20 yard rush (Robbie Gould kick),13,34
,0:29,49ers,Tevin Coleman 1 yard rush (Robbie Gould kick),13,41
4.0,12:52,49ers,Robbie Gould 20 yard field goal,13,44
,6:16,49ers,Raheem Mostert 41 yard rush (Robbie Gould kick),13,51
