Unnamed: 0,CAR,SFO
First Downs,12,24
Rush-Yds-TDs,19-130-1,38-232-5
Cmp-Att-Yd-TD-INT,19-37-158-0-3,18-22-175-2-1
Sacked-Yards,7-58,3-19
Net Pass Yards,100,156
Total Yards,230,388
Fumbles-Lost,1-0,0-0
Turnovers,3,1
Penalties-Yards,9-70,4-31
Third Down Conv.,2-13,5-10
Fourth Down Conv.,0-2,0-0
Time of Possession,26:59,33:01
