Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Christian McCaffrey,CAR,14,117,1,4,93,6.6,24,1.7,1,14.0
Jordan Scarlett,CAR,4,9,0,,4,1.0,5,1.3,0,
Reggie Bonnafon,CAR,1,4,0,,2,2.0,2,2.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Matt Breida,SFO,11,35,0,2,21,1.9,14,1.3,0,
Tevin Coleman,SFO,11,105,3,5,89,8.1,16,1.5,0,
Raheem Mostert,SFO,9,60,1,2,49,5.4,11,1.2,0,
Nick Mullens,SFO,3,-3,0,,-3,-1.0,0,0.0,0,
Deebo Samuel,SFO,2,29,1,1,29,14.5,0,0.0,0,
Jeff Wilson,SFO,2,6,0,,1,0.5,5,2.5,0,
