Quarter,Time,Tm,Detail,MIN,TAM
1.0,13:12,Buccaneers,Karl Williams 15 yard pass from Brad Johnson (Martin Gramatica kick),0,7
,1:03,Buccaneers,Rickey Dudley 2 yard pass from Brad Johnson (Martin Gramatica kick),0,14
2.0,12:19,Buccaneers,Martin Gramatica 36 yard field goal,0,17
,7:16,Buccaneers,Keyshawn Johnson 2 yard pass from Brad Johnson (Martin Gramatica kick),0,24
,6:49,Vikings,Michael Bennett 85 yard rush (Gary Anderson kick),7,24
,0:00,Vikings,Gary Anderson 26 yard field goal,10,24
3.0,5:10,Buccaneers,Keyshawn Johnson 19 yard pass from Brad Johnson (Martin Gramatica kick),10,31
,2:08,Vikings,Moe Williams 1 yard rush (Gary Anderson kick),17,31
4.0,13:34,Buccaneers,Mike Alstott 5 yard pass from Brad Johnson (Martin Gramatica kick),17,38
,4:40,Vikings,Moe Williams 1 yard rush (Gary Anderson kick),24,38
