Quarter,Time,Down,ToGo,Location,MIN,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,TAM 30,0,0,"Martin Gramatica kicks off 61 yards, returned by Nick Davis for 14 yards (tackle by Jack Golden). Nick Davis fumbles, recovered by Jermaine Phillips at MIN-21. Penalty on MIN: Offensive Holding (Declined)",0.000,-4.170
1,14:53,1,10,MIN 21,0,0,Mike Alstott left tackle for 3 yards (tackle by Kenny Mixon and Brian Russell),4.170,4.040
1,14:10,2,7,MIN 18,0,0,Brad Johnson pass complete to Mike Alstott for 8 yards (tackle by Henri Crockett),4.040,4.910
1,13:27,1,10,MIN 10,0,0,"Mike Alstott left end for 10 yards. Penalty on Keyshawn Johnson: Illegal Motion, 5 yards (no play)",4.910,4.370
1,13:21,1,15,MIN 15,0,6,"Brad Johnson pass complete to Karl Williams for 15 yards, touchdown",4.370,7.000
1,13:21,,,MIN 15,0,7,Martin Gramatica kicks extra point good,0.000,0.000
1,13:21,,,TAM 30,0,7,"Martin Gramatica kicks off 70 yards, touchback",0.000,0.280
1,13:12,1,10,MIN 20,0,7,Michael Bennett middle for 4 yards (tackle by Shelton Quarles and Derrick Brooks),0.280,0.270
1,12:35,2,6,MIN 24,0,7,Daunte Culpepper pass complete to Jim Kleinsasser for 10 yards (tackle by Derrick Brooks and Ronde Barber),0.270,1.200
1,11:53,1,10,MIN 34,0,7,Michael Bennett right tackle for 2 yards (tackle by Alshermond Singleton),1.200,0.930
1,11:05,2,8,MIN 36,0,7,Daunte Culpepper pass incomplete intended for Derrick Alexander,0.930,0.230
1,10:59,3,8,MIN 36,0,7,Daunte Culpepper middle for 8 yards (tackle by Greg Spires),0.230,1.860
1,10:19,1,10,MIN 44,0,7,Randy Moss left end for 2 yards (tackle by Shelton Quarles),1.860,1.590
1,9:42,2,8,MIN 46,0,7,Michael Bennett middle for 4 yards (tackle by Chartric Darby and John Lynch),1.590,1.420
1,9:00,3,4,,0,7,Moe Williams middle for 9 yards (tackle by Shelton Quarles),1.420,2.850
1,8:26,1,10,TAM 41,0,7,Michael Bennett middle for 1 yard (tackle by Shelton Quarles),2.850,2.440
1,7:45,2,9,TAM 40,0,7,Daunte Culpepper pass incomplete intended for Derrick Alexander,2.440,1.750
1,7:37,3,9,TAM 40,0,7,"Daunte Culpepper pass complete to Randy Moss for 40 yards. Penalty on Corbin Lacina: Offensive Holding, 10 yards (no play)",1.750,0.430
1,7:29,3,9,TAM 40,,,Timeout #1 by Minnesota Vikings,1.750,0.430
1,7:29,3,19,,0,7,Daunte Culpepper pass incomplete,0.430,-0.060
1,7:20,4,19,,0,7,"Kyle Richardson punts 36 yards, fair catch by Karl Williams",-0.060,0.280
1,7:12,1,10,TAM 14,0,7,Mike Alstott middle for no gain (tackle by Chris Hovan),-0.280,-0.750
1,6:35,2,10,TAM 14,0,7,Brad Johnson pass complete to Keyshawn Johnson for 13 yards (tackle by Corey Chavous and Ronnie Bradford),-0.750,0.740
1,5:50,1,10,TAM 27,0,7,Brad Johnson pass complete to Keyshawn Johnson for 26 yards (tackle by Eric Kelly),0.740,2.460
1,5:06,1,10,MIN 47,0,7,"Brad Johnson pass incomplete intended for Mike Alstott. Penalty on Corey Chavous: Defensive Holding, 5 yards (no play)",2.460,2.790
1,5:01,1,10,MIN 42,0,7,Brad Johnson pass complete to Karl Williams for 5 yards (tackle by Nick Rogers),2.790,2.920
1,4:24,2,5,MIN 37,0,7,Mike Alstott for -2 yards (tackle by Chris Hovan and Lorenzo Bromell),2.920,1.950
1,3:44,3,7,MIN 39,0,7,Brad Johnson pass complete to Ken Dilger for 18 yards (tackle by Kenny Mixon). Penalty on MIN: Defensive Offside (Declined),1.950,4.170
1,3:19,1,10,MIN 21,0,7,Michael Pittman for 1 yard (tackle by Nick Rogers),4.170,3.760
1,2:41,2,9,MIN 20,0,7,Brad Johnson pass incomplete intended for Karl Williams,3.760,3.070
1,2:34,3,9,MIN 20,0,7,Brad Johnson pass complete to Karl Williams for 12 yards (tackle by Greg Biekert),3.070,5.370
1,1:54,1,8,MIN 8,0,7,Mike Alstott left end for 6 yards (tackle by Eric Kelly),5.370,5.720
1,1:14,2,2,MIN 2,0,7,Brad Johnson pass incomplete intended for Rickey Dudley,5.720,4.950
1,1:09,3,2,MIN 2,0,13,"Brad Johnson pass complete to Rickey Dudley for 2 yards, touchdown",4.950,7.000
1,1:09,,,MIN 2,0,14,Martin Gramatica kicks extra point good,0.000,0.000
1,1:09,,,TAM 30,0,14,"Martin Gramatica kicks off 71 yards, returned by Moe Williams for 25 yards (tackle by John Howell)",0.000,0.540
1,0:56,1,10,MIN 24,0,14,Daunte Culpepper pass incomplete intended for Byron Chamberlain (defended by Ronde Barber),0.540,0.000
1,0:51,2,10,MIN 24,0,14,Michael Bennett middle for -1 yards (tackle by Warren Sapp),0.000,-0.820
1,0:13,3,11,MIN 23,0,14,Daunte Culpepper pass incomplete intended for Byron Chamberlain,-0.820,-1.830
1,0:06,4,11,MIN 23,0,14,"Kyle Richardson punts 25 yards, out of bounds",-1.830,-2.390
Quarter,Time,Down,ToGo,Location,MIN,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIN 48,0,14,"Brad Johnson pass incomplete intended for Ken Dilger. Penalty on Henri Crockett: Defensive Holding, 5 yards (no play)",2.390,2.720
2,14:56,1,10,MIN 43,0,14,Mike Alstott middle for 2 yards (tackle by Chris Hovan and Kenny Mixon),2.720,2.450
