Unnamed: 0,MIN,CIN
First Downs,10,24
Rush-Yds-TDs,17-115-1,37-81-1
Cmp-Att-Yd-TD-INT,13-27-114-1-3,27-38-363-4-0
Sacked-Yards,4-20,2-18
Net Pass Yards,94,345
Total Yards,209,426
Fumbles-Lost,1-1,1-1
Turnovers,4,1
Penalties-Yards,5-40,6-55
Third Down Conv.,0-9,8-14
Fourth Down Conv.,0-2,1-2
Time of Possession,20:28,39:32
