Quarter,Time,Tm,Detail,WAS,NYG
1.0,8:45,Giants,Wayne Gallman 6 yard pass from Daniel Jones (Aldrick Rosas kick),0,7
2.0,12:01,Giants,Wayne Gallman 1 yard rush (Aldrick Rosas kick),0,14
,2:14,Redskins,Dustin Hopkins 21 yard field goal,3,14
,0:00,Giants,Aldrick Rosas 30 yard field goal,3,17
3.0,1:19,Giants,Jabrill Peppers 32 yard interception return (Aldrick Rosas kick),3,24
