Unnamed: 0,WAS,NYG
First Downs,8,24
Rush-Yds-TDs,17-55-0,37-164-1
Cmp-Att-Yd-TD-INT,15-28-144-0-4,23-31-225-1-2
Sacked-Yards,3-23,0-0
Net Pass Yards,121,225
Total Yards,176,389
Fumbles-Lost,0-0,4-2
Turnovers,4,4
Penalties-Yards,12-58,5-45
Third Down Conv.,2-11,8-13
Fourth Down Conv.,0-0,1-1
Time of Possession,23:51,36:09
