Unnamed: 0,OAK,PIT
First Downs,9,21
Rush-Yds-TDs,23-122-1,40-133-2
Cmp-Att-Yd-TD-INT,10-25-68-0-2,19-28-266-1-1
Sacked-Yards,4-29,0-0
Net Pass Yards,39,266
Total Yards,161,399
Fumbles-Lost,2-1,4-1
Turnovers,3,2
Penalties-Yards,5-50,9-85
Third Down Conv.,1-12,7-15
Fourth Down Conv.,1-1,1-1
Time of Possession,24:09,35:51
