Quarter,Time,Tm,Detail,NYG,PHI
1.0,11:39,Eagles,Jake Elliott 32 yard field goal,0,3
,4:14,Eagles,Boston Scott 8 yard rush (Jake Elliott kick),0,10
2.0,10:22,Eagles,Jake Elliott 52 yard field goal,0,13
,0:45,Eagles,Jake Elliott 39 yard field goal,0,16
3.0,6:17,Eagles,Jake Elliott 54 yard field goal,0,19
,0:50,Giants,Graham Gano 24 yard field goal,3,19
4.0,10:04,Giants,Davis Webb 14 yard rush (pass failed),9,19
,3:21,Eagles,Jake Elliott 22 yard field goal,9,22
,1:38,Giants,Kenny Golladay 25 yard pass from Davis Webb (Graham Gano kick),16,22
