Quarter,Time,Down,ToGo,Location,JAX,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss, Jaguars to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,JAX 25,0,0,James Robinson up the middle for 11 yards (tackle by Justin Reid and Brennan Scarlett),0.610,1.330
1,14:24,1,10,JAX 36,0,0,Gardner Minshew pass complete short right to James O'Shaughnessy for 6 yards (tackle by P.J. Hall and Tyrell Adams),1.330,1.600
1,13:44,2,4,JAX 42,0,0,Gardner Minshew pass incomplete short left intended for Laviska Shenault,1.600,0.890
1,13:38,3,4,JAX 42,0,0,Gardner Minshew sacked by Zach Cunningham for -1 yards,0.890,-0.650
1,13:02,4,5,JAX 41,0,0,"Logan Cooke punts 52 yards, returned by DeAndre Carter for 9 yards (tackle by Dare Ogunbowale and Andrew Wingard)",-0.650,0.140
1,12:51,1,10,HOU 16,0,0,Deshaun Watson pass complete deep right to Brandin Cooks for 36 yards (tackle by Chris Claybrooks),-0.140,2.390
1,12:19,1,10,JAX 48,0,0,David Johnson right tackle for no gain (tackle by Josh Jones),2.390,1.850
1,11:50,2,10,JAX 48,0,0,Deshaun Watson pass complete short left to Brandin Cooks for -2 yards (tackle by Dakota Allen),1.850,0.890
1,11:12,3,12,HOU 50,0,0,Deshaun Watson pass complete short right to Pharaoh Brown for 4 yards (tackle by Joe Schobert),0.890,0.200
1,10:29,4,8,JAX 46,0,0,Bryan Anger punts 33 yards out of bounds,0.200,0.320
1,10:22,1,10,JAX 13,0,0,James Robinson right tackle for 4 yards (tackle by Brandon Dunn and Zach Cunningham),-0.320,-0.300
1,9:42,2,6,JAX 17,0,0,"Penalty on Brandon Dunn: Neutral Zone Infraction, 5 yards (no play)",-0.300,0.490
