Quarter,Time,Tm,Detail,JAX,HOU
2.0,14:07,Texans,Ka'imi Fairbairn 36 yard field goal,0,3
,6:33,Jaguars,Keelan Cole 13 yard pass from Gardner Minshew II (Stephen Hauschka kick),7,3
,4:32,Texans,Darren Fells 44 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,10
3.0,11:35,Texans,Ka'imi Fairbairn 33 yard field goal,7,13
4.0,14:16,Texans,Will Fuller 19 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,20
,10:18,Jaguars,Collin Johnson 4 yard pass from Gardner Minshew II (Stephen Hauschka kick),14,20
,7:29,Texans,Ka'imi Fairbairn 46 yard field goal,14,23
,4:39,Texans,Brandin Cooks 28 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),14,30
