Unnamed: 0,CLE,OAK
First Downs,21,27
Rush-Yds-TDs,31-208-3,29-139-0
Cmp-Att-Yd-TD-INT,21-41-295-2-2,35-58-437-4-2
Sacked-Yards,2-16,3-11
Net Pass Yards,279,426
Total Yards,487,565
Fumbles-Lost,3-2,0-0
Turnovers,4,2
Penalties-Yards,8-55,6-65
Third Down Conv.,5-15,5-16
Fourth Down Conv.,1-1,0-1
Time of Possession,31:23,36:51
