Quarter,Time,Tm,Detail,CLE,OAK
1,10:01,Raiders,Gareon Conley 36 yard interception return (Matthew McCrane kick),0,7
,2:00,Browns,Greg Joseph 25 yard field goal,3,7
2,12:35,Browns,Nick Chubb 63 yard rush (pass failed),9,7
,9:00,Browns,Darren Fells 49 yard pass from Baker Mayfield (Duke Johnson run),17,7
,4:30,Raiders,Amari Cooper 8 yard pass from Derek Carr (Matthew McCrane kick),17,14
3,9:22,Browns,Greg Joseph 28 yard field goal,20,14
,7:26,Browns,Jarvis Landry 2 yard pass from Baker Mayfield (Duke Johnson run),28,14
,5:34,Raiders,Jared Cook 7 yard pass from Derek Carr (Matthew McCrane kick),28,21
4,14:14,Raiders,Matthew McCrane 29 yard field goal,28,24
,12:46,Raiders,Jordy Nelson 19 yard pass from Derek Carr (Matthew McCrane kick),28,31
,10:46,Raiders,Matthew McCrane 44 yard field goal,28,34
,8:07,Browns,Carlos Hyde 1 yard rush (Greg Joseph kick),35,34
,4:20,Browns,Nick Chubb 41 yard rush (Greg Joseph kick),42,34
,0:30,Raiders,Jared Cook 7 yard pass from Derek Carr (Jordy Nelson pass from Derek Carr),42,42
OT,1:46,Raiders,Matthew McCrane 29 yard field goal,42,45
