Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Carlos Hyde,CLE,22,82,1,3,45,2.0,37,1.7,0,
Baker Mayfield,CLE,4,10,0,1,8,2.0,2,0.5,0,
Nick Chubb,CLE,3,105,2,2,11,3.7,94,31.3,0,
Duke Johnson,CLE,2,11,0,0,7,3.5,4,2.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Marshawn Lynch,OAK,20,130,0,5,58,2.9,72,3.6,2,10.0
Doug Martin,OAK,5,11,0,,3,0.6,8,1.6,0,
Derek Carr,OAK,2,1,0,1,0,0.0,1,0.5,0,
Dwayne Harris,OAK,1,-1,0,,-4,-4.0,3,3.0,0,
Jalen Richard,OAK,1,-2,0,0,-2,-2.0,0,0.0,0,
