Unnamed: 0,NYJ,PIT
First Downs,17,23
Rush-Yds-TDs,22-70-0,43-166-2
Cmp-Att-Yd-TD-INT,20-33-233-2-0,10-19-133-0-2
Sacked-Yards,2-14,2-12
Net Pass Yards,219,121
Total Yards,289,287
Fumbles-Lost,2-1,3-0
Turnovers,1,2
Penalties-Yards,6-50,4-25
Third Down Conv.,5-14,6-11
Fourth Down Conv.,2-3,0-1
Time of Possession,25:19,34:41
