Quarter,Time,Down,ToGo,Location,NYJ,PIT,Detail,EPB,EPA
2,12:32,1,10,NYJ 35,0,7,Jerricho Cotchery left end for -4 yards (tackle by James Harrison and Ike Taylor),1.270,0.180
2,11:48,2,14,NYJ 31,0,7,"Penalty on D'Brickashaw Ferguson: False Start, 5 yards (no play)",0.180,-0.490
2,11:28,2,19,NYJ 26,0,7,Mark Sanchez pass complete short middle to Dustin Keller for 7 yards (tackle by Lawrence Timmons),-0.490,-0.230
2,10:41,3,12,NYJ 33,0,7,Mark Sanchez pass incomplete short left intended for Jerricho Cotchery,-0.230,-1.180
2,10:37,4,12,NYJ 33,0,7,Steve Weatherford punts 29 yards,-1.180,-1.470
2,10:32,1,10,PIT 38,0,7,Ben Roethlisberger pass incomplete deep right intended for Mike Wallace (defended by Darrelle Revis),1.470,0.920
2,10:25,2,10,PIT 38,0,7,Rashard Mendenhall right tackle for 35 yards (tackle by Darrelle Revis),0.920,3.780
2,9:54,,,,0,7,Timeout #1 by Pittsburgh Steelers,0.000,3.780
2,9:53,1,10,NYJ 27,0,7,Isaac Redman left guard for 8 yards (tackle by Drew Coleman),3.780,4.350
2,9:11,2,2,NYJ 19,0,7,Isaac Redman left guard for 13 yards (tackle by Antonio Cromartie and Darrelle Revis),4.350,5.830
2,8:26,1,6,NYJ 6,0,7,Rashard Mendenhall right guard for 1 yard (tackle by Bart Scott and Eric Smith),5.830,5.150
2,7:45,2,5,NYJ 5,0,7,Rashard Mendenhall middle for 3 yards (tackle by Shaun Ellis and Sione Pouha),5.150,4.950
2,6:57,,,,0,7,Timeout #2 by Pittsburgh Steelers,0.000,4.950
2,6:57,3,2,NYJ 2,0,7,Ben Roethlisberger pass incomplete short middle intended for Emmanuel Sanders (defended by Eric Smith),4.950,3.250
2,6:54,4,2,NYJ 2,0,10,Shaun Suisham 20 yard field goal good,3.250,3.000
2,,,,PIT 30,0,10,Shaun Suisham kicks off 59 yards,0.000,1.600
2,6:51,1,10,NYJ 40,0,10,Shonn Greene right guard for 3 yards (tackle by James Harrison and Brett Keisel),1.600,1.460
2,6:13,2,7,NYJ 43,0,10,Mark Sanchez pass incomplete short right intended for Braylon Edwards,1.460,0.760
2,6:11,3,7,NYJ 43,0,10,Mark Sanchez pass incomplete deep middle intended for Jerricho Cotchery (defended by Brett Keisel),0.760,-0.520
2,6:03,4,7,NYJ 43,0,10,"Steve Weatherford punts 33 yards, returned by Antwaan Randle El for 10 yards (tackle by Brad Smith)",-0.520,-1.200
2,5:57,1,10,PIT 34,0,10,Ben Roethlisberger pass incomplete short right intended for Mike Wallace,1.200,0.660
2,5:53,2,10,PIT 34,0,10,Ben Roethlisberger pass complete deep right to Heath Miller for 24 yards (tackle by David Harris),0.660,2.790
2,5:09,1,10,NYJ 42,0,10,Rashard Mendenhall middle for 3 yards (tackle by Mike DeVito),2.790,2.650
2,4:25,2,7,NYJ 39,0,10,Ben Roethlisberger pass complete deep left to Emmanuel Sanders for 20 yards (tackle by Drew Coleman),2.650,4.310
2,3:38,1,10,NYJ 19,0,10,Rashard Mendenhall right tackle for 3 yards (tackle by Jason Taylor and Sione Pouha),4.310,4.180
2,2:54,2,7,NYJ 16,0,10,Ben Roethlisberger pass complete short left to Rashard Mendenhall for 14 yards (tackle by Antonio Cromartie),4.180,6.740
2,2:05,1,2,NYJ 2,0,16,"Ben Roethlisberger right end for 2 yards, touchdown",6.740,7.000
2,,,,NYJ 2,0,17,Shaun Suisham kicks extra point good,0.000,0.000
2,,,,PIT 30,0,17,"Shaun Suisham kicks off 60 yards, returned by Brad Smith for 23 yards (tackle by Arnaz Battle)",0.000,1.140
2,1:53,1,10,NYJ 33,0,17,Mark Sanchez sacked by LaMarr Woodley for -7 yards,1.140,-0.350
2,1:26,2,17,NYJ 26,0,17,Mark Sanchez pass incomplete short middle intended for Jerricho Cotchery,-0.350,-1.020
2,1:23,3,17,NYJ 26,0,23,"Mark Sanchez sacked by Ike Taylor for -6 yards. Mark Sanchez fumbles (forced by Ike Taylor), recovered by William Gay at NYJ-19 and returned for 19 yards, touchdown",-1.020,-7.000
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
2,,,,NYJ 2,0,24,Shaun Suisham kicks extra point good,0.000,0.000
2,,,,PIT 30,0,24,"Shaun Suisham kicks off 45 yards, returned by Robert Turner for 6 yards (tackle by Arnaz Battle)",0.000,1.000
2,1:08,1,10,NYJ 31,0,24,Mark Sanchez pass complete short right to Dustin Keller for 5 yards (tackle by LaMarr Woodley),1.000,1.140
2,0:46,2,5,NYJ 36,0,24,Mark Sanchez pass complete short left to Brad Smith for 16 yards (tackle by Troy Polamalu),1.140,2.390
2,0:39,1,10,PIT 48,0,24,Mark Sanchez pass complete short middle to Brad Smith for 9 yards (tackle by James Farrior and LaMarr Woodley),2.390,3.060
2,0:33,,,,0,24,Timeout #1 by New York Jets,0.000,3.060
2,0:33,2,1,PIT 39,0,24,"Mark Sanchez pass incomplete short middle intended for Dustin Keller (defended by Lawrence Timmons). Penalty on Bryant McFadden: Illegal Contact, 5 yards (no play)",3.060,3.310
2,0:28,1,10,PIT 34,0,24,Mark Sanchez pass complete short right to Dustin Keller for 9 yards (tackle by Lawrence Timmons),3.310,3.990
2,0:23,,,,0,24,Timeout #2 by New York Jets,0.000,3.990
2,0:23,2,1,PIT 25,0,24,Mark Sanchez pass incomplete deep left intended for Santonio Holmes,3.990,3.270
2,0:18,3,1,PIT 25,0,24,Mark Sanchez pass incomplete deep right intended for Braylon Edwards,3.270,1.950
2,0:14,4,1,PIT 25,3,24,Nick Folk 42 yard field goal good,1.950,3.000
2,,,,NYJ 30,3,24,"Nick Folk kicks off 39 yards, returned by Matt Spaeth for 2 yards (tackle by Joe McKnight)",0.000,1.140
2,0:08,1,10,PIT 33,3,24,Ben Roethlisberger kneels for -1 yards,1.140,0.460
Quarter,Time,Down,ToGo,Location,NYJ,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 30,3,24,"Shaun Suisham kicks off 59 yards, returned by Brad Smith for -1 yards (tackle by Keyaron Fox)",0.000,-0.380
3,14:52,1,10,NYJ 10,3,24,Shonn Greene left tackle for 23 yards (tackle by Evander Hood),-0.380,1.140
3,14:26,1,10,NYJ 33,3,24,LaDainian Tomlinson middle for 8 yards (tackle by James Farrior and Troy Polamalu),1.140,1.670
3,13:40,2,2,NYJ 41,3,24,LaDainian Tomlinson right tackle for -2 yards (tackle by LaMarr Woodley),1.670,0.700
3,13:01,3,4,NYJ 39,3,24,Mark Sanchez pass complete short left to Santonio Holmes for 16 yards (tackle by Ike Taylor),0.700,2.590
3,12:22,1,10,PIT 45,9,24,"Mark Sanchez pass complete deep right to Santonio Holmes for 45 yards, touchdown",2.590,7.000
3,,,,PIT 2,10,24,Nick Folk kicks extra point good,0.000,0.000
3,,,,NYJ 30,10,24,"Nick Folk kicks off 60 yards, returned by Antonio Brown for 18 yards (tackle by Josh Mauga)",0.000,0.810
3,12:08,1,10,PIT 28,10,24,Ben Roethlisberger right tackle for 4 yards (tackle by Mike DeVito),0.810,0.800
3,11:22,2,6,PIT 32,10,24,Rashard Mendenhall left guard for 4 yards (tackle by Sione Pouha),0.800,0.630
3,10:41,3,2,PIT 36,10,24,Ben Roethlisberger pass incomplete short right intended for Antonio Brown,0.630,-0.980
3,10:37,4,2,PIT 36,10,24,"Jeremy Kapinos punts 40 yards. Penalty on Jamaal Westerman: Roughing the Kicker, 15 yards (no play)",-0.980,2.320
3,10:21,1,10,NYJ 49,10,24,Rashard Mendenhall middle for 3 yards (tackle by Mike DeVito),2.320,2.190
3,9:49,2,7,NYJ 46,10,24,Rashard Mendenhall right guard for 1 yard (tackle by Brodney Pool and Bart Scott),2.190,1.620
3,9:08,3,6,NYJ 45,10,24,Ben Roethlisberger pass complete short middle to Mewelde Moore for 9 yards (tackle by Antonio Cromartie),1.620,3.180
3,8:23,1,10,NYJ 36,10,24,"Ben Roethlisberger for no gain. Ben Roethlisberger fumbles, recovered by Ben Roethlisberger at NYJ-37",3.180,2.500
3,7:54,2,11,NYJ 37,10,24,Ben Roethlisberger pass incomplete deep left intended for Emmanuel Sanders is intercepted by Brodney Pool at NYJ-5 and returned for 9 yards,2.500,0.280
3,7:42,1,10,NYJ 14,10,24,Shonn Greene middle for 3 yards (tackle by Evander Hood),-0.280,-0.370
3,7:00,2,7,NYJ 17,10,24,Mark Sanchez pass incomplete short middle intended for Santonio Holmes,-0.370,-1.040
3,6:56,3,7,NYJ 17,10,24,Mark Sanchez pass incomplete short right intended for Braylon Edwards,-1.040,-2.320
3,6:52,4,7,NYJ 17,10,24,"Steve Weatherford punts 50 yards, muffed catch by Antwaan Randle El, ball out of bounds at PIT-30",-2.320,-0.940
3,6:44,1,10,PIT 30,10,24,Rashard Mendenhall middle for no gain (tackle by Mike DeVito and David Harris),0.940,0.390
3,6:07,2,10,PIT 30,10,24,Rashard Mendenhall left tackle for 6 yards (tackle by Brodney Pool),0.390,0.500
3,5:24,3,4,PIT 36,10,24,Ben Roethlisberger left guard for 5 yards (tackle by Shaun Ellis and David Harris),0.500,1.660
3,4:39,1,10,PIT 41,10,24,Rashard Mendenhall middle for -1 yards (tackle by Mike DeVito),1.660,0.990
3,4:04,2,11,PIT 40,10,24,Rashard Mendenhall right end for 8 yards (tackle by Eric Smith),0.990,1.360
3,3:18,3,3,PIT 48,10,24,"Ben Roethlisberger left end for 5 yards (tackle by Brodney Pool). Penalty on Antonio Cromartie: Defensive Holding, 5 yards",1.360,2.790
3,2:49,1,10,NYJ 42,10,24,Ben Roethlisberger sacked by Calvin Pace for -7 yards,2.790,1.300
3,2:12,2,17,NYJ 49,10,24,Mewelde Moore right guard for -3 yards (tackle by David Harris),1.300,0.230
3,1:29,3,20,PIT 48,10,24,Ben Roethlisberger sacked by Trevor Pryce for -5 yards,0.230,-0.520
3,0:57,4,25,PIT 43,10,24,"Jeremy Kapinos punts 38 yards, fair catch by Jerricho Cotchery",-0.520,-0.150
3,0:50,1,10,NYJ 19,10,24,Mark Sanchez pass complete short middle to Braylon Edwards for 18 yards (tackle by Ryan Clark),0.150,1.400
3,0:15,1,10,NYJ 37,10,24,LaDainian Tomlinson left guard for 5 yards (tackle by Lawrence Timmons),1.400,1.530
Quarter,Time,Down,ToGo,Location,NYJ,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,NYJ 42,10,24,Mark Sanchez pass complete deep left to Dustin Keller for 19 yards (tackle by Ryan Clark),1.530,2.980
4,14:32,1,10,PIT 39,10,24,Mark Sanchez pass incomplete deep right intended for Braylon Edwards,2.980,2.440
4,14:26,2,10,PIT 39,10,24,Mark Sanchez pass complete short right to Jerricho Cotchery for 6 yards (tackle by Troy Polamalu and William Gay),2.440,2.540
4,13:53,3,4,PIT 33,10,24,Mark Sanchez pass complete short middle to Dustin Keller for 6 yards (tackle by Ryan Clark),2.540,3.780
4,13:18,1,10,PIT 27,10,24,Shonn Greene middle for 1 yard (tackle by James Harrison),3.780,3.370
4,12:38,2,9,PIT 26,10,24,Mark Sanchez middle for 6 yards (tackle by James Farrior),3.370,3.470
4,11:53,3,3,PIT 20,10,24,Shonn Greene left end for 2 yards (tackle by James Harrison and James Farrior),3.470,2.400
4,11:19,4,1,PIT 18,10,24,Shonn Greene right guard for 2 yards (tackle by Lawrence Timmons and Brett Keisel),2.400,4.510
4,10:31,1,10,PIT 16,10,24,"Mark Sanchez for no gain. Mark Sanchez fumbles, recovered by Mark Sanchez at PIT-24",4.510,2.880
4,9:57,2,18,PIT 24,10,24,Shonn Greene left guard for 16 yards (tackle by Troy Polamalu),2.880,4.620
4,9:20,3,2,PIT 8,10,24,Mark Sanchez pass complete short right to Jerricho Cotchery for 6 yards (tackle by Lawrence Timmons),4.620,6.740
4,8:39,1,2,PIT 2,10,24,Shonn Greene middle for 1 yard (tackle by James Farrior and Lawrence Timmons),6.740,5.910
4,7:56,2,1,PIT 1,10,24,Mark Sanchez pass incomplete short right intended for Dustin Keller,5.910,5.170
4,7:53,3,1,PIT 1,10,24,Mark Sanchez pass incomplete short right intended for Santonio Holmes (defended by LaMarr Woodley),5.170,3.550
4,7:50,4,1,PIT 1,10,24,LaDainian Tomlinson middle for no gain (tackle by Brett Keisel and Casey Hampton),3.550,0.380
4,7:44,1,10,PIT 1,12,24,"Ben Roethlisberger for no gain. Ben Roethlisberger fumbles, recovered by Ben Roethlisberger at PIT--1, safety",-0.380,-2.000
4,,,,PIT 20,12,24,"Jeremy Kapinos kicks off 49 yards, returned by Jerricho Cotchery for 11 yards (tackle by Arnaz Battle)",0.000,1.730
4,7:38,1,10,NYJ 42,12,24,Mark Sanchez pass complete deep right to Braylon Edwards for 22 yards (tackle by William Gay),1.730,3.180
4,6:50,1,10,PIT 36,12,24,Mark Sanchez right guard for no gain (tackle by Brett Keisel and James Harrison),3.180,2.640
4,6:28,2,10,PIT 36,12,24,Mark Sanchez pass complete short middle to Dustin Keller for 9 yards (tackle by Lawrence Timmons),2.640,3.140
4,5:57,3,1,PIT 27,12,24,LaDainian Tomlinson middle for no gain (tackle by James Harrison and Brett Keisel),3.140,1.820
4,5:16,4,1,PIT 27,12,24,Mark Sanchez pass complete short right to Braylon Edwards for 10 yards (tackle by Troy Polamalu),1.820,4.440
4,4:55,1,10,PIT 17,12,24,LaDainian Tomlinson middle for 2 yards (tackle by Lawrence Timmons and James Farrior),4.440,4.150
4,4:35,2,8,PIT 15,12,24,Mark Sanchez pass complete short right to Dustin Keller for 4 yards (tackle by Lawrence Timmons),4.150,4.100
4,4:09,3,4,PIT 11,12,24,Mark Sanchez pass complete short right to Dustin Keller for 5 yards (tackle by Lawrence Timmons),4.100,5.830
4,3:47,1,6,PIT 6,12,24,LaDainian Tomlinson right guard for 2 yards (tackle by James Farrior),5.830,5.340
4,3:09,2,4,PIT 4,18,24,"Mark Sanchez pass complete short left to Jerricho Cotchery for 4 yards, touchdown",5.340,7.000
4,,,,PIT 2,19,24,Nick Folk kicks extra point good,0.000,0.000
4,,,,NYJ 30,,,"Nick Folk kicks off 56 yards, returned by Antonio Brown for 27 yards (tackle by Drew Coleman)",,
4,2:56,1,10,PIT 41,19,24,Rashard Mendenhall right tackle for 1 yard (tackle by Brodney Pool and Darrelle Revis),1.660,1.260
4,2:50,,,,19,24,Timeout #1 by New York Jets,0.000,1.260
4,2:50,2,9,PIT 42,19,24,Ben Roethlisberger pass complete short right to Heath Miller for 14 yards (tackle by Antonio Cromartie),1.260,2.650
4,2:43,,,,19,24,Timeout #2 by New York Jets,0.000,2.650
4,2:43,1,10,NYJ 44,19,24,Rashard Mendenhall right tackle for 2 yards (tackle by Jason Taylor),2.650,2.380
4,2:38,,,,19,24,Timeout #3 by New York Jets,0.000,2.380
4,2:38,2,8,NYJ 42,19,24,Rashard Mendenhall right end for 2 yards (tackle by David Harris and Bryan Thomas),2.380,1.950
4,2:00,3,6,NYJ 40,19,24,Ben Roethlisberger pass complete short right to Antonio Brown for 14 yards (tackle by Eric Smith),1.950,3.840
4,1:48,1,10,NYJ 26,19,24,Ben Roethlisberger kneels for -1 yards,3.840,3.160
4,1:08,2,11,NYJ 27,19,24,Ben Roethlisberger kneels for -4 yards,3.160,1.950
4,0:29,3,15,NYJ 31,19,24,Ben Roethlisberger kneels for -1 yards,1.950,1.240
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
