Quarter,Time,Tm,Detail,NYJ,PIT
1.0,5:54,Steelers,Rashard Mendenhall 1 yard rush (Shaun Suisham kick),0,7
2.0,6:51,Steelers,Shaun Suisham 20 yard field goal,0,10
,2:00,Steelers,Ben Roethlisberger 2 yard rush (Shaun Suisham kick),0,17
,1:13,Steelers,William Gay 19 yard defensive fumble return (Shaun Suisham kick),0,24
,0:09,Jets,Nick Folk 42 yard field goal,3,24
3.0,12:13,Jets,Santonio Holmes 45 yard pass from Mark Sanchez (Nick Folk kick),10,24
4.0,7:38,Jets,"Safety, Ben Roethlisberger tackled in end zone by Mike DeVito.",12,24
,3:06,Jets,Jerricho Cotchery 4 yard pass from Mark Sanchez (Nick Folk kick),19,24
