Quarter,Time,Down,ToGo,Location,KAN,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Ka'imi Fairbairn kicks off 61 yards, returned by Akeem Hunt for 15 yards (tackle by Brennan Scarlett)",0.000,-0.150
1,14:55,1,10,KAN 19,0,0,Kareem Hunt left tackle for 9 yards (tackle by Dylan Cole and J.J. Watt),0.150,0.880
1,14:19,2,1,KAN 28,0,0,Kareem Hunt left tackle for 2 yards (tackle by Zach Cunningham and D.J. Reader),0.880,0.940
1,13:42,1,10,KAN 30,0,0,Kareem Hunt right tackle for 1 yard (tackle by Zach Cunningham and J.J. Watt),0.940,0.530
1,12:58,2,9,KAN 31,0,0,Alex Smith pass complete short right to Travis Kelce for 2 yards (tackle by Johnathan Joseph),0.530,0.100
1,12:16,3,7,KAN 33,0,0,Alex Smith pass complete short right to Demarcus Robinson for 16 yards,0.100,2.190
1,11:45,1,10,KAN 49,0,0,Kareem Hunt middle for -2 yards (tackle by Jadeveon Clowney),2.190,1.380
1,11:03,2,12,KAN 47,0,0,Alex Smith pass complete short left to Albert Wilson for 6 yards (tackle by Marcus Gilchrist and Benardrick McKinney),1.380,1.490
1,10:28,3,6,HOU 47,0,0,Alex Smith pass complete short left to Travis Kelce for 10 yards (tackle by Marcus Gilchrist),1.490,3.120
1,9:47,1,10,HOU 37,0,0,Alex Smith pass incomplete short left intended for Travis Kelce (defended by Andre Hal),3.120,2.570
1,9:41,2,10,HOU 37,0,0,Kareem Hunt right tackle for -4 yards (tackle by Benardrick McKinney),2.570,1.360
1,9:01,3,14,HOU 41,0,0,Alex Smith pass complete deep right to Chris Conley for 19 yards,1.360,4.110
1,8:25,1,10,HOU 22,0,0,Alex Smith middle for 7 yards (tackle by Brandon Dunn),4.110,4.650
1,7:46,2,3,HOU 15,0,0,Kareem Hunt middle for -2 yards (tackle by Jadeveon Clowney and Andre Hal),4.650,3.560
1,7:03,3,5,HOU 17,0,0,Alex Smith pass incomplete deep right intended for Travis Kelce,3.560,2.360
1,6:57,4,5,HOU 17,3,0,Harrison Butker 35 yard field goal good,2.360,3.000
1,6:53,,,KAN 35,3,0,"Harrison Butker kicks off 65 yards, touchback",0.000,-0.610
1,6:53,1,10,HOU 25,3,0,Lamar Miller middle for 9 yards (tackle by Eric Murray and Daniel Sorensen),0.610,1.280
1,6:24,2,1,HOU 34,3,0,Deshaun Watson pass incomplete short middle intended for DeAndre Hopkins (defended by Daniel Sorensen),1.280,0.560
1,6:17,3,1,HOU 34,3,0,Deshaun Watson pass complete short middle to Chris Thompson for 19 yards (tackle by Marcus Peters),0.560,2.460
1,5:42,1,10,KAN 47,3,0,Lamar Miller left tackle for 2 yards (tackle by Allen Bailey),2.460,2.180
1,5:04,2,8,KAN 45,3,0,Deshaun Watson pass complete short left to Ryan Griffin for 13 yards (tackle by Frank Zombo),2.180,3.450
1,4:17,1,10,KAN 32,3,0,Lamar Miller right tackle for 1 yard (tackle by Allen Bailey),3.450,3.040
1,3:45,2,9,KAN 31,3,0,"Bruce Ellington sacked by Justin Houston for -4 yards. Penalty on Chris Clark: Illegal Block Above the Waist, 10 yards (no play)",3.040,1.690
1,3:15,2,19,KAN 41,3,0,Deshaun Watson pass incomplete deep right intended for Ryan Griffin,1.690,1.030
1,3:09,3,19,KAN 41,3,0,Deshaun Watson pass incomplete short left intended for Lamar Miller. Penalty on Chris Clark: Offensive Holding (Declined),1.030,0.530
1,2:59,4,19,KAN 41,3,0,"Shane Lechler punts 38 yards, returned by De'Anthony Thomas for 8 yards (tackle by Dylan Cole)",0.530,0.370
1,2:49,1,10,KAN 11,3,0,Alex Smith pass complete short left to Tyreek Hill for 14 yards (tackle by Brandon Dunn),-0.370,0.610
1,2:04,1,10,KAN 25,3,0,Alex Smith pass incomplete short right intended for Anthony Sherman,0.610,0.060
1,1:58,2,10,KAN 25,3,0,Kareem Hunt right end for -1 yards (tackle by Dylan Cole and Andre Hal),0.060,-0.760
1,1:15,3,11,KAN 24,3,0,Alex Smith pass complete short left to Chris Conley for 12 yards,-0.760,1.330
1,0:44,1,10,KAN 36,3,0,Kareem Hunt left tackle for 2 yards (tackle by Brennan Scarlett),1.330,1.060
Quarter,Time,Down,ToGo,Location,KAN,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,KAN 38,3,0,Alex Smith pass complete short right to Travis Kelce for 19 yards (tackle by Zach Cunningham and Benardrick McKinney),1.060,2.720
2,14:18,1,10,HOU 43,3,0,Alex Smith pass complete short right to Demetrius Harris for 11 yards (tackle by Andre Hal),2.720,3.450
