Unnamed: 0,KAN,HOU
First Downs,29,20
Rush-Yds-TDs,35-127-0,23-144-0
Cmp-Att-Yd-TD-INT,29-37-324-3-0,16-31-261-5-0
Sacked-Yards,1-1,3-13
Net Pass Yards,323,248
Total Yards,450,392
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,6-64,7-59
Third Down Conv.,9-16,3-10
Fourth Down Conv.,0-0,1-1
Time of Possession,38:17,21:43
