Quarter,Time,Tm,Detail,CLE,BAL
1,2:34,Browns,Phil Dawson 28 yard field goal,3,0
2,12:23,Browns,Jamal Lewis 1 yard rush (Phil Dawson kick),10,0
,8:47,Ravens,Ray Lewis 35 yard interception return (Matt Stover kick),10,7
,1:41,Browns,Phil Dawson 39 yard field goal,13,7
3,10:42,Ravens,Willis McGahee 2 yard rush (Matt Stover kick),13,14
,6:01,Browns,Derek Anderson 1 yard rush (Phil Dawson kick),20,14
,3:42,Browns,Brodney Pool 100 yard interception return (Phil Dawson kick),27,14
4,12:13,Ravens,Matt Stover 34 yard field goal,27,17
,7:20,Ravens,Matt Stover 41 yard field goal,27,20
,3:31,Ravens,Devard Darling 27 yard pass from Kyle Boller (Matt Stover kick),27,27
,0:26,Ravens,Matt Stover 47 yard field goal,27,30
,0:00,Browns,Phil Dawson 51 yard field goal,30,30
OT,9:10,Browns,Phil Dawson 33 yard field goal,33,30
