Unnamed: 0,CLE,BAL
First Downs,22,23
Rush-Yds-TDs,35-111-2,25-128-1
Cmp-Att-Yd-TD-INT,24-38-274-0-1,22-41-279-1-2
Sacked-Yards,1-5,6-39
Net Pass Yards,269,240
Total Yards,380,368
Fumbles-Lost,1-1,2-2
Turnovers,2,4
Penalties-Yards,12-104,2-15
Third Down Conv.,5-15,2-12
Fourth Down Conv.,0-1,0-1
Time of Possession,37:43,28:07
