Unnamed: 0,CIN,NYJ
First Downs,18,22
Rush-Yds-TDs,19-57-1,30-152-0
Cmp-Att-Yd-TD-INT,23-30-366-1-1,19-35-189-2-1
Sacked-Yards,7-42,1-1
Net Pass Yards,324,188
Total Yards,381,340
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,5-44,7-95
Third Down Conv.,3-11,4-12
Fourth Down Conv.,0-0,0-0
Time of Possession,25:07,34:53
