Quarter,Time,Down,ToGo,Location,NYJ,NYG,Detail,EPB,EPA
2,11:16,4,4,NYG 38,3,7,"Brad Wing punts 39 yards, muffed catch by Jeremy Kerley, recovered by Jeremy Kerley and returned for -1 yards (tackle by Zak DeOssie)",-0.850,-0.040
2,11:06,1,10,NYJ 18,3,7,"Chris Ivory middle for 2 yards (tackle by Jasper Brinkley). Chris Ivory fumbles (forced by Jasper Brinkley), recovered by Jason Pierre-Paul at NYJ-20 (tackle by Kellen Davis). Penalty on James Carpenter: Unnecessary Roughness, 10 yards",0.040,-4.910
2,10:56,1,10,NYJ 10,3,7,Orleans Darkwa right guard for 2 yards (tackle by Erin Henderson and Muhammad Wilkerson),4.910,4.570
2,10:26,2,8,NYJ 8,3,7,Eli Manning pass complete short middle to Hakeem Nicks for 7 yards (tackle by Antonio Cromartie),4.570,5.170
2,9:44,3,1,NYJ 1,3,7,Andre Williams left guard for -1 yards (tackle by Stephen Bowen and Demario Davis),5.170,3.250
2,9:02,4,2,NYJ 2,3,10,Josh Brown 20 yard field goal good,3.250,3.000
2,9:02,,,NYG 35,3,10,"Josh Brown kicks off 67 yards, returned by Antonio Cromartie for 23 yards (tackle by Jayron Hosley)",0.000,-0.340
2,8:50,1,10,NYJ 21,3,10,Ryan Fitzpatrick pass complete short left to Brandon Marshall for 22 yards (tackle by Jason Pierre-Paul),0.340,1.800
2,8:13,1,10,NYJ 43,3,10,Ryan Fitzpatrick pass complete short left to Brandon Marshall for 15 yards (tackle by Landon Collins),1.800,2.790
2,7:27,1,10,NYG 42,3,10,"Ryan Fitzpatrick pass complete deep right to Eric Decker for 17 yards. Penalty on NYJ: Unsportsmanlike Conduct, 15 yards",2.790,2.920
2,7:06,1,10,NYG 40,3,10,Chris Ivory middle for 2 yards (tackle by J.T. Thomas and Markus Kuhn),2.920,2.640
2,6:22,2,8,NYG 38,3,10,Ryan Fitzpatrick middle for 2 yards (tackle by Damontre Moore and Uani Unga),2.640,2.210
2,5:35,3,6,NYG 36,3,10,Ryan Fitzpatrick pass complete short right to Bilal Powell for 16 yards,2.210,4.240
,,,,,,,"NYG challenged the runner was in bounds ruling, and the play was upheld.",,
2,4:58,1,10,NYG 20,3,10,Ryan Fitzpatrick pass complete short left to Chris Ivory for -6 yards (tackle by Jasper Brinkley),4.240,2.880
2,4:15,2,16,NYG 26,3,10,Ryan Fitzpatrick left tackle for 1 yard (tackle by Damontre Moore),2.880,2.340
