Quarter,Time,Tm,Detail,NYJ,NYG
1,5:47,Jets,Randy Bullock 24 yard field goal,3,0
2,14:39,Giants,Dwayne Harris 80 yard punt return (Josh Brown kick),3,7
,8:58,Giants,Josh Brown 20 yard field goal,3,10
,3:21,Jets,Bilal Powell 25 yard pass from Ryan Fitzpatrick (Randy Bullock kick),10,10
,2:13,Giants,Odell Beckham Jr. 72 yard pass from Eli Manning (Josh Brown kick),10,17
,0:30,Giants,Josh Brown 35 yard field goal,10,20
4,4:24,Jets,Randy Bullock 24 yard field goal,13,20
,0:27,Jets,Brandon Marshall 9 yard pass from Ryan Fitzpatrick (Randy Bullock kick),20,20
OT,8:45,Jets,Randy Bullock 31 yard field goal,23,20
