Unnamed: 0,NYJ,NYG
First Downs,28,14
Rush-Yds-TDs,24-90-0,24-74-0
Cmp-Att-Yd-TD-INT,36-50-390-2-0,18-34-297-1-1
Sacked-Yards,3-17,3-16
Net Pass Yards,373,281
Total Yards,463,355
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,8-61,8-60
Third Down Conv.,6-15,4-15
Fourth Down Conv.,1-1,1-2
Time of Possession,38:31,29:56
