Unnamed: 0,TEN,CAR
First Downs,24,22
Rush-Yds-TDs,21-121-2,33-156-2
Cmp-Att-Yd-TD-INT,27-39-331-1-2,17-32-232-2-1
Sacked-Yards,4-21,3-18
Net Pass Yards,310,214
Total Yards,431,370
Fumbles-Lost,1-1,0-0
Turnovers,3,1
Penalties-Yards,11-99,6-77
Third Down Conv.,3-10,5-14
Fourth Down Conv.,1-1,2-2
Time of Possession,26:43,33:17
