Quarter,Time,Tm,Detail,TEN,CAR
2.0,13:28,Panthers,Joey Slye 35 yard field goal,0,3
,8:07,Panthers,Christian McCaffrey 7 yard pass from Kyle Allen (Joey Slye kick),0,10
,0:58,Panthers,Curtis Samuel 12 yard pass from Kyle Allen (Joey Slye kick),0,17
3.0,10:11,Titans,Derrick Henry 8 yard rush (Ryan Succop kick),7,17
,5:16,Panthers,Christian McCaffrey 1 yard rush (Joey Slye kick),7,24
4.0,14:14,Titans,Derrick Henry 23 yard pass from Ryan Tannehill (Ryan Succop kick),14,24
,10:23,Panthers,Christian McCaffrey 58 yard rush (Joey Slye kick failed),14,30
,2:49,Titans,Ryan Tannehill 10 yard rush (pass failed),20,30
