Quarter,Time,Down,ToGo,Location,TEN,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Ryan Succop kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CAR 25,0,0,Kyle Allen pass incomplete deep middle intended for Greg Olsen (defended by Logan Ryan),0.610,0.060
1,14:55,2,10,CAR 25,0,0,Christian McCaffrey left tackle for 2 yards (tackle by DaQuan Jones and Harold Landry),0.060,-0.360
1,14:18,3,8,CAR 27,0,0,Kyle Allen pass complete short right to D.J. Moore for 9 yards (tackle by Adoree' Jackson),-0.360,1.330
1,13:37,1,10,CAR 36,0,0,Christian McCaffrey left end for 6 yards (tackle by Jayon Brown),1.330,1.600
1,13:03,2,4,CAR 42,0,0,Kyle Allen sacked by Kamalei Correa for -3 yards,1.600,0.500
1,12:16,3,7,CAR 39,0,0,Kyle Allen pass incomplete short right intended for Greg Olsen (defended by Kevin Byard),0.500,-0.780
1,12:12,4,7,CAR 39,0,0,"Michael Palardy punts 48 yards, returned by Adam Humphries for 11 yards (tackle by Colin Jones)",-0.780,-0.540
1,12:02,1,10,TEN 24,0,0,"Ryan Tannehill pass incomplete deep right intended for Tajae Sharpe. Penalty on James Bradberry: Defensive Pass Interference, 42 yards (no play)",0.540,3.310
1,11:54,1,10,CAR 34,0,0,Derrick Henry up the middle for 3 yards (tackle by Dontari Poe),3.310,3.180
1,11:11,2,7,CAR 31,0,0,Ryan Tannehill sacked by Dontari Poe for -7 yards,3.180,1.550
1,10:34,3,14,CAR 38,0,0,Ryan Tannehill pass complete short middle to Adam Humphries for 13 yards (tackle by Eric Reid),1.550,1.950
1,9:47,4,1,CAR 25,0,0,Ryan Succop 43 yard field goal no good,1.950,-1.140
1,9:41,1,10,CAR 33,0,0,Kyle Allen pass complete deep left to Greg Olsen for 23 yards (tackle by Logan Ryan),1.140,2.650
1,9:05,1,10,TEN 44,0,0,Kyle Allen pass incomplete deep left intended for D.J. Moore (defended by Malcolm Butler),2.650,2.110
1,8:58,2,10,TEN 44,0,0,Christian McCaffrey up the middle for 4 yards (tackle by Jeffery Simmons and Jayon Brown),2.110,1.950
1,8:24,3,6,TEN 40,0,0,"Christian McCaffrey up the middle for 2 yards (tackle by Kevin Byard). Christian McCaffrey fumbles (forced by Kevin Byard), recovered by Kevin Byard at TEN-38 (tackle by Christian McCaffrey). Penalty on Kenny Vaccaro: Illegal Use of Hands, 5 yards (no play)",1.950,3.250
1,8:18,1,10,TEN 35,0,0,Kyle Allen pass complete short right to D.J. Moore for 8 yards (tackle by Logan Ryan and Kevin Byard),3.250,3.780
1,7:37,2,2,TEN 27,0,0,Jarius Wright right end for -7 yards (tackle by Adoree' Jackson),3.780,2.150
1,6:55,3,9,TEN 34,0,0,Kyle Allen pass short middle (defended by Kenny Vaccaro) intended for Jarius Wright is intercepted by Harold Landry at TEN-26 and returned for no gain,2.150,-0.670
1,6:49,1,10,TEN 26,0,0,"Penalty on Gerald McCoy: Neutral Zone Infraction, 5 yards (no play)",0.670,1.400
1,6:49,1,5,TEN 31,0,0,"Derrick Henry left tackle for 13 yards (tackle by Ross Cockrell and Tre Boston). Penalty on Taylor Lewan: Offensive Holding, 10 yards (no play)",1.400,0.340
1,6:26,1,15,TEN 21,0,0,"Ryan Tannehill pass incomplete deep middle intended for Anthony Firkser. Penalty on Taylor Lewan: Face Mask (15 Yards), 10 yards (no play)",0.340,-0.890
1,6:21,1,25,TEN 11,0,0,Dion Lewis left end for 15 yards (tackle by Eric Reid),-0.890,0.130
1,5:40,2,10,TEN 26,0,0,"Ryan Tannehill pass complete short right to Adam Humphries for 9 yards (tackle by Ross Cockrell). Penalty on Nate Davis: Face Mask (15 Yards), 13 yards (no play)",0.130,-1.720
1,5:17,2,23,TEN 13,0,0,Ryan Tannehill pass complete short left to Jonnu Smith for 4 yards (tackle by Ross Cockrell and Luke Kuechly),-1.720,-2.020
1,4:36,3,19,TEN 17,0,0,Ryan Tannehill pass complete short right to Adam Humphries for 16 yards (tackle by Eric Reid),-2.020,-1.180
1,3:58,4,3,TEN 33,0,0,Brett Kern punts 35 yards out of bounds,-1.180,-1.070
1,3:49,1,10,CAR 32,0,0,Christian McCaffrey up the middle for 3 yards (tackle by Rashaan Evans and Kamalei Correa),1.070,0.930
1,3:14,2,7,CAR 35,0,0,Christian McCaffrey left guard for no gain (tackle by Rashaan Evans),0.930,0.230
1,2:35,3,7,CAR 35,0,0,Kyle Allen pass complete deep right to Curtis Samuel for 32 yards (tackle by Logan Ryan),0.230,3.380
1,1:53,1,10,TEN 33,0,0,Christian McCaffrey left end for 6 yards (tackle by Harold Landry and Rashaan Evans),3.380,3.650
1,1:12,2,4,TEN 27,0,0,Christian McCaffrey up the middle for 6 yards (tackle by Rashaan Evans),3.650,4.170
1,0:28,1,10,TEN 21,0,0,Christian McCaffrey left tackle for 7 yards (tackle by Rashaan Evans),4.170,4.740
Quarter,Time,Down,ToGo,Location,TEN,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,TEN 14,0,0,Christian McCaffrey left tackle for 5 yards (tackle by Logan Ryan and Harold Landry),4.740,5.140
2,14:25,1,9,TEN 9,0,0,Kyle Allen pass incomplete short middle intended for Greg Olsen (defended by DaQuan Jones),5.140,4.380
2,14:19,2,9,TEN 9,0,0,Kyle Allen pass incomplete short middle intended for Curtis Samuel,4.380,3.360
2,14:15,3,9,TEN 9,0,0,Kyle Allen sacked by Harold Landry for -8 yards,3.360,2.310
2,13:34,4,17,TEN 17,0,3,Joey Slye 35 yard field goal good,2.310,3.000
2,13:28,,,CAR 35,0,3,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,13:28,1,10,TEN 25,0,3,Ryan Tannehill pass complete short left to A.J. Brown for 23 yards (tackle by Shaq Thompson),0.610,2.130
2,13:28,1,10,TEN 48,0,3,"Penalty on Jack Conklin: False Start, 5 yards (no play)",2.130,1.800
2,12:34,1,15,TEN 43,0,3,Dion Lewis up the middle for 7 yards (tackle by Eric Reid),1.800,1.850
2,11:58,2,8,TEN 50,0,3,"Ryan Tannehill sacked by Marquis Haynes for no gain. Penalty on Marquis Haynes: Defensive Offside, 5 yards (no play)",1.850,2.530
2,11:36,2,3,CAR 45,0,3,"Dion Lewis left guard for no gain (tackle by Eric Reid). Dion Lewis fumbles (forced by Eric Reid), recovered by Donte Jackson at CAR-42 (tackle by Jack Conklin)",2.530,-1.730
2,11:29,1,10,CAR 42,0,3,Christian McCaffrey right guard for 4 yards (tackle by Adoree' Jackson and Jayon Brown),1.730,1.730
2,10:56,2,6,CAR 46,0,3,Kyle Allen pass incomplete deep right intended for Jarius Wright,1.730,1.030
2,10:51,3,6,CAR 46,0,3,Kyle Allen pass incomplete deep left intended for D.J. Moore (defended by Malcolm Butler),1.030,-0.320
2,10:45,4,6,CAR 46,0,3,"Michael Palardy punts 37 yards, fair catch by Adam Humphries at TEN-17",-0.320,0.060
2,10:36,1,10,TEN 17,0,3,Derrick Henry left guard for 1 yard (tackle by Bruce Irvin and Luke Kuechly),-0.060,-0.420
2,9:58,2,9,TEN 18,0,3,"Ryan Tannehill pass short middle intended for A.J. Brown is intercepted by Donte Jackson at TEN-31 and returned for no gain. Penalty on Corey Davis: Face Mask (15 Yards), 15 yards. Penalty on A.J. Brown: Offensive Pass Interference, 15 yards",-0.420,-4.580
2,9:49,1,10,TEN 15,0,3,Christian McCaffrey left end for 5 yards (tackle by Jayon Brown),4.580,4.840
2,9:04,2,5,TEN 10,0,3,Christian McCaffrey up the middle for 3 yards (tackle by Austin Johnson and Rashaan Evans),4.840,4.680
2,8:20,3,2,TEN 7,0,3,Kyle Allen pass incomplete short right,4.680,3.000
2,8:10,4,2,TEN 7,0,9,"Kyle Allen pass complete short right to Christian McCaffrey for 7 yards, touchdown",3.000,7.000
2,8:07,,,TEN 15,0,10,Joey Slye kicks extra point good,0.000,0.000
2,8:07,,,CAR 35,0,10,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,8:07,1,10,TEN 25,0,10,Ryan Tannehill pass incomplete short left intended for Jonnu Smith (defended by Tre Boston),0.610,0.060
2,8:01,2,10,TEN 25,0,10,Ryan Tannehill up the middle for 2 yards (tackle by Kyle Love),0.060,-0.360
2,7:22,3,8,TEN 27,0,10,Ryan Tannehill pass incomplete short right intended for A.J. Brown,-0.360,-1.570
2,7:16,4,8,TEN 27,0,10,"Brett Kern punts 53 yards, returned by Greg Dortch for no gain (tackle by Daren Bates). Penalty on Javien Elliott: Offensive Holding, 10 yards",-1.570,0.380
2,7:04,1,10,CAR 10,0,10,Christian McCaffrey up the middle for 1 yard (tackle by Austin Johnson and DaQuan Jones),-0.380,-0.710
2,6:22,2,9,CAR 11,0,10,Kyle Allen pass complete deep right to Curtis Samuel for 20 yards (tackle by Wesley Woodyard and Jayon Brown),-0.710,1.000
2,5:38,1,10,CAR 31,0,10,Kyle Allen pass complete short right to D.J. Moore for 13 yards (tackle by Logan Ryan),1.000,1.860
2,4:56,1,10,CAR 44,0,10,Kyle Allen pass complete short left to Greg Olsen for 6 yards (tackle by Wesley Woodyard and Logan Ryan),1.860,2.130
2,4:22,2,4,CAR 50,0,10,Christian McCaffrey left end for 3 yards (tackle by Jayon Brown),2.130,1.820
2,3:45,,,,,,Timeout #1 by Carolina Panthers,,
2,3:45,3,1,TEN 47,0,10,Kyle Allen pass complete short left to Christian McCaffrey for 3 yards (tackle by Jayon Brown),1.820,2.650
2,3:07,1,10,TEN 44,0,10,Kyle Allen pass complete short left to Greg Olsen for 11 yards,2.650,3.380
2,2:33,1,10,TEN 33,0,10,Christian McCaffrey right tackle for 3 yards (tackle by Logan Ryan and Harold Landry),3.380,3.240
2,2:00,2,7,TEN 30,0,10,Kyle Allen sacked by Sharif Finch for -7 yards,3.240,1.620
2,1:55,,,,,,Timeout #1 by Tennessee Titans,,
2,1:55,3,14,TEN 37,0,10,Kyle Allen pass complete short left to D.J. Moore for 18 yards (tackle by DaQuan Jones),1.620,4.310
