Quarter,Time,Tm,Detail,CHI,DAL
1.0,9:30,Cowboys,Dak Prescott 1 yard rush (Dan Bailey kick),0,7
,1:54,Cowboys,Dan Bailey 49 yard field goal,0,10
2.0,11:11,Cowboys,Lance Dunbar 1 yard rush (Dan Bailey kick),0,17
,7:47,Bears,Connor Barth 34 yard field goal,3,17
,0:38,Cowboys,Alfred Morris 3 yard rush (Dan Bailey kick),3,24
3.0,7:08,Bears,Zach Miller 2 yard pass from Brian Hoyer (Connor Barth kick),10,24
4.0,9:02,Cowboys,Dez Bryant 17 yard pass from Dak Prescott (Dan Bailey kick),10,31
,6:28,Bears,Zach Miller 6 yard pass from Brian Hoyer (Connor Barth kick),17,31
