Unnamed: 0,CHI,DAL
First Downs,21,25
Rush-Yds-TDs,14-78-0,41-199-3
Cmp-Att-Yd-TD-INT,30-49-317-2-0,19-24-248-1-0
Sacked-Yards,1-5,0-0
Net Pass Yards,312,248
Total Yards,390,447
Fumbles-Lost,4-2,1-1
Turnovers,2,1
Penalties-Yards,6-45,4-45
Third Down Conv.,2-10,5-11
Fourth Down Conv.,1-1,1-1
Time of Possession,24:41,35:19
