Unnamed: 0,DEN,CIN
First Downs,22,20
Rush-Yds-TDs,19-85-1,37-207-1
Cmp-Att-Yd-TD-INT,28-44-311-2-4,17-25-146-2-1
Sacked-Yards,2-11,0-0
Net Pass Yards,300,146
Total Yards,385,353
Fumbles-Lost,0-0,2-1
Turnovers,4,2
Penalties-Yards,6-72,7-45
Third Down Conv.,5-12,2-11
Fourth Down Conv.,0-0,1-1
Time of Possession,28:22,31:38
