Quarter,Time,Down,ToGo,Location,DEN,CIN,Detail,EPB,EPA
1,5:00,1,10,CIN 38,7,7,Giovani Bernard left tackle for -1 yards (tackle by DeMarcus Ware),1.470,0.790
1,4:26,2,11,CIN 37,7,7,Andy Dalton pass complete short right to Giovani Bernard for no gain,0.790,0.100
1,3:48,3,11,CIN 37,7,7,Andy Dalton pass complete short left to Giovani Bernard for 3 yards (tackle by Chris Harris),0.100,-0.720
1,3:12,4,8,CIN 40,7,7,"Kevin Huber punts 51 yards, returned by Wes Welker for 9 yards (tackle by Dre Kirkpatrick)",-0.720,-0.040
1,3:03,1,10,DEN 18,7,7,C.J. Anderson left guard for 7 yards (tackle by George Iloka and Rey Maualuga),0.040,0.550
1,2:23,2,3,DEN 25,7,7,C.J. Anderson left end for -5 yards (tackle by Vincent Rey),0.550,-0.910
1,1:40,3,8,DEN 20,7,7,Peyton Manning pass complete short right to Emmanuel Sanders for -2 yards (tackle by Reggie Nelson),-0.910,-2.240
1,1:02,4,10,DEN 18,7,7,"Britton Colquitt punts 48 yards, returned by Adam Jones for 21 yards (tackle by Aaron Brewer)",-2.240,-2.590
1,0:46,1,10,DEN 45,7,7,Jeremy Hill left tackle for 2 yards (tackle by T.J. Ward),2.590,2.310
Quarter,Time,Down,ToGo,Location,DEN,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,DEN 43,7,7,Jeremy Hill left tackle for 7 yards (tackle by Aqib Talib),2.310,2.540
2,14:18,3,1,DEN 36,7,7,Andy Dalton up the middle for no gain (tackle by Todd Davis),2.540,0.890
2,13:06,4,1,DEN 36,7,7,Jeremy Hill right guard for 2 yards (tackle by DeMarcus Ware),0.890,3.310
2,12:26,1,10,DEN 34,7,7,Andy Dalton pass complete short right to Jermaine Gresham for 4 yards (tackle by T.J. Ward),3.310,3.310
2,11:53,2,6,DEN 30,7,7,Jeremy Hill right guard for 7 yards (tackle by Bradley Roby),3.310,4.040
2,11:18,1,10,DEN 23,7,7,Andy Dalton pass incomplete short left intended for A.J. Green,4.040,3.500
2,11:11,2,10,DEN 23,7,7,Giovani Bernard right guard for 4 yards (tackle by Marvin Austin and Todd Davis),3.500,3.340
2,10:36,3,6,DEN 19,7,7,Andy Dalton pass incomplete,3.340,2.210
2,10:28,4,6,DEN 19,7,10,Mike Nugent 37 yard field goal good,2.210,3.000
2,10:28,,,CIN 35,7,10,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
2,10:23,1,10,DEN 20,7,10,Peyton Manning pass complete short middle to Demaryius Thomas for 5 yards (tackle by Leon Hall),0.280,0.410
2,9:57,2,5,DEN 25,7,10,Peyton Manning pass incomplete short left intended for Julius Thomas is intercepted by Reggie Nelson at DEN-25 and returned for 3 yards,0.410,-4.110
,,,,,,,"Replay Assistant challenged the incomplete pass ruling, and the play was upheld.",,
2,9:50,1,10,DEN 22,7,10,Andy Dalton right end for 10 yards (tackle by Rahim Moore),4.110,4.780
2,9:17,1,10,DEN 12,7,10,Jeremy Hill left guard for 1 yard (tackle by Terrance Knighton),4.780,4.270
2,8:33,2,9,DEN 11,7,10,Andy Dalton up the middle for 9 yards (tackle by Chris Harris),4.270,6.740
2,8:01,1,2,DEN 2,7,16,"Andy Dalton pass complete short right to Jermaine Gresham for 2 yards, touchdown",6.740,7.000
2,8:01,,,DEN 2,7,17,Mike Nugent kicks extra point good,0.000,0.000
2,8:01,,,CIN 35,7,17,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
2,7:56,1,10,DEN 20,7,17,C.J. Anderson right tackle for 3 yards (tackle by Carlos Dunlap and Geno Atkins),0.280,0.140
2,7:15,2,7,DEN 23,7,17,Peyton Manning pass complete short left to C.J. Anderson for 6 yards (tackle by Marquis Flowers),0.140,0.230
2,6:33,3,1,DEN 29,7,17,C.J. Anderson right guard for 13 yards (tackle by Reggie Nelson),0.230,1.730
2,5:52,1,10,DEN 42,7,17,"Peyton Manning pass complete deep right to Demaryius Thomas for 48 yards (tackle by Terence Newman). Penalty on Ryan Clady: Offensive Holding, 10 yards (no play)",1.730,1.070
2,5:27,1,20,DEN 32,7,17,C.J. Anderson left guard for 4 yards (tackle by Domata Peko),1.070,0.380
2,4:56,2,16,DEN 36,7,17,Peyton Manning pass incomplete short right intended for C.J. Anderson,0.380,-0.290
2,4:50,3,16,DEN 36,7,17,Peyton Manning pass incomplete deep left intended for Demaryius Thomas (defended by George Iloka),-0.290,-0.980
2,4:43,4,16,DEN 36,7,17,"Britton Colquitt punts 49 yards, out of bounds",-0.980,0.220
2,4:30,1,10,CIN 15,7,17,Giovani Bernard left tackle for no gain (tackle by Malik Jackson),-0.220,-0.710
2,3:55,2,10,CIN 15,7,17,Giovani Bernard right tackle for 23 yards (tackle by David Bruton and Rahim Moore),-0.710,1.470
2,3:19,1,10,CIN 38,7,17,Andy Dalton for 8 yards (tackle by T.J. Ward),1.470,2.000
2,3:04,2,2,CIN 46,7,17,Giovani Bernard left guard for 5 yards (tackle by Derek Wolfe),2.000,2.320
2,2:27,1,10,DEN 49,7,17,"Penalty on Kevin Zeitler: False Start, 5 yards (no play)",2.320,1.990
2,2:18,1,15,CIN 46,7,17,Jeremy Hill up the middle for 4 yards (tackle by Von Miller),1.990,1.650
2,2:00,2,11,,7,17,Andy Dalton pass complete short middle to Giovani Bernard for 18 yards (tackle by Aqib Talib),1.650,3.450
2,1:54,1,10,DEN 32,7,17,Giovani Bernard right guard for 1 yard (tackle by Malik Jackson),3.450,3.040
2,1:19,2,9,DEN 31,7,17,Andy Dalton pass incomplete deep right intended for Dane Sanzenbacher (defended by Aqib Talib),3.040,2.340
2,1:14,3,9,DEN 31,7,17,Andy Dalton pass incomplete deep middle intended for A.J. Green,2.340,1.320
2,1:08,4,9,DEN 31,7,20,Mike Nugent 49 yard field goal good,1.320,3.000
2,1:08,,,CIN 35,7,20,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
2,1:03,1,10,DEN 20,7,20,Peyton Manning pass complete short middle to Wes Welker for 9 yards (tackle by Vincent Rey),0.280,0.950
2,0:45,2,1,DEN 29,7,20,Peyton Manning pass incomplete short left intended for C.J. Anderson,0.950,0.230
2,0:40,3,1,DEN 29,7,20,C.J. Anderson up the middle for 2 yards (tackle by Vincent Rey),0.230,0.230
2,0:37,3,1,DEN 29,7,20,Timeout #1 by Denver Broncos,0.230,1.000
2,0:37,1,10,DEN 31,7,20,Peyton Manning pass complete deep middle to Julius Thomas for 26 yards (tackle by Reggie Nelson),1.000,1.000
2,0:31,1,10,DEN 31,7,20,Timeout #2 by Denver Broncos,1.000,2.720
2,0:31,1,10,CIN 43,7,20,Peyton Manning pass complete short middle to Jacob Tamme for 8 yards (tackle by Vincent Rey),2.720,3.260
2,0:12,2,2,CIN 35,7,20,Peyton Manning pass complete short left to Wes Welker for 4 yards (tackle by Adam Jones),3.260,3.260
2,0:05,2,2,CIN 35,7,20,Timeout #3 by Denver Broncos,3.260,3.260
2,0:05,2,2,CIN 35,7,20,Timeout #1 by Cincinnati Bengals,3.260,3.510
2,0:05,1,10,CIN 31,7,20,Connor Barth 49 yard field goal no good,3.510,1.470
Quarter,Time,Down,ToGo,Location,DEN,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,7,20,"Mike Nugent kicks off 63 yards, returned by Omar Bolden for 77 yards (tackle by Shawn Williams)",0.000,4.170
3,14:48,1,10,CIN 21,7,20,Peyton Manning pass complete deep right to Demaryius Thomas for 19 yards (tackle by Terence Newman),4.170,6.740
3,14:24,1,2,CIN 2,7,20,Peyton Manning pass incomplete short right intended for Demaryius Thomas,6.740,5.720
3,14:20,2,2,CIN 2,7,20,"Peyton Manning pass incomplete short right intended for Demaryius Thomas. Penalty on Terence Newman: Defensive Pass Interference, 1 yards (no play)",5.720,6.970
3,14:15,1,1,CIN 1,13,20,"C.J. Anderson right tackle for 1 yard, touchdown",6.970,7.000
3,14:15,,,CIN 2,14,20,Connor Barth kicks extra point good,0.000,0.000
3,14:15,,,DEN 35,14,20,"Brandon McManus kicks off 72 yards, returned by Adam Jones for 80 yards (tackle by Andre Caldwell)",0.000,-3.780
3,14:00,1,10,DEN 27,14,20,Jeremy Hill right tackle for -3 yards (tackle by Todd Davis),3.780,2.830
3,13:28,2,13,DEN 30,14,20,Andy Dalton pass complete short middle to Jermaine Gresham for 8 yards (tackle by Todd Davis and Steven Johnson),2.830,3.200
3,12:43,3,5,DEN 22,14,26,"Andy Dalton pass complete short left to Giovani Bernard for 22 yards, touchdown",3.200,7.000
3,12:43,,,DEN 2,14,27,Mike Nugent kicks extra point good,0.000,0.000
3,12:43,,,CIN 35,14,27,"Mike Nugent kicks off 63 yards, returned by Emmanuel Sanders for 19 yards (tackle by Chris Carter)",0.000,-0.340
3,12:30,1,10,DEN 21,14,27,Peyton Manning pass complete short right to Demaryius Thomas for 10 yards (tackle by Vincent Rey),0.340,1.000
3,11:58,1,10,DEN 31,14,27,C.J. Anderson right guard for 5 yards (tackle by Vincent Rey and Rey Maualuga),1.000,1.140
3,11:36,2,5,DEN 36,14,27,Peyton Manning pass complete short left to Demaryius Thomas for 9 yards (tackle by Adam Jones),1.140,1.930
3,11:15,1,10,DEN 45,14,27,Peyton Manning pass complete short middle to C.J. Anderson for 3 yards (tackle by Rey Maualuga),1.930,1.790
3,10:51,2,7,DEN 48,14,27,Peyton Manning pass incomplete short left intended for Julius Thomas (defended by Wallace Gilberry),1.790,1.090
3,10:45,3,7,DEN 48,14,27,"Penalty on Wallace Gilberry: Neutral Zone Infraction, 4 yards (no play)",1.090,1.620
3,10:45,3,3,CIN 48,14,27,Peyton Manning pass complete deep right to Emmanuel Sanders for 33 yards (tackle by Terence Newman). Penalty on Terence Newman: Defensive Pass Interference (Declined),1.620,4.580
3,10:25,1,10,CIN 15,14,27,Juwan Thompson left guard for 2 yards (tackle by Terence Newman),4.580,4.280
3,9:50,2,8,CIN 13,14,27,Peyton Manning pass complete short middle to Emmanuel Sanders for 9 yards (tackle by Rey Maualuga),4.280,6.280
3,9:12,1,4,CIN 4,20,27,"Peyton Manning pass complete short left to Emmanuel Sanders for 4 yards, touchdown",6.280,7.000
3,9:12,,,CIN 2,21,27,Connor Barth kicks extra point good,0.000,0.000
3,9:12,,,DEN 35,21,27,"Brandon McManus kicks off 71 yards, returned by Adam Jones for 39 yards (tackle by Josh Bush)",0.000,-1.140
3,9:02,1,10,CIN 33,21,27,Jeremy Hill left guard for 9 yards (tackle by T.J. Ward and DeMarcus Ware),1.140,1.810
3,8:30,2,1,CIN 42,21,27,Jeremy Hill up the middle for 2 yards (tackle by Derek Wolfe),1.810,1.860
3,7:56,1,10,CIN 44,21,27,"Penalty on Eric Winston: False Start, 5 yards (no play)",1.860,1.530
3,7:38,1,15,CIN 39,21,27,Andy Dalton pass complete short middle to Mohamed Sanu for 16 yards (tackle by T.J. Ward),1.530,2.590
3,6:58,1,10,DEN 45,21,27,Jeremy Hill left tackle for 1 yard (tackle by Malik Jackson),2.590,2.180
3,6:21,2,9,DEN 44,21,27,Andy Dalton pass complete short right to Brandon Tate for 12 yards,2.180,3.450
3,6:01,1,10,DEN 32,21,27,"Dane Sanzenbacher left end for -1 yards (tackle by Chris Harris). Penalty on Derek Wolfe: Unnecessary Roughness, 15 yards",3.450,4.370
3,5:41,1,10,DEN 18,21,27,Jeremy Hill left tackle for 10 yards (tackle by Steven Johnson),4.370,5.370
3,5:07,1,8,DEN 8,21,27,"Jeremy Hill right guard for 1 yard (tackle by Von Miller). Jeremy Hill fumbles (forced by Von Miller), recovered by Von Miller at DEN-7 and returned for 2 yards (tackle by Jeremy Hill)",5.370,0.380
3,5:00,1,10,DEN 9,21,27,Peyton Manning pass complete short right to Demaryius Thomas for 11 yards (tackle by Terence Newman),-0.380,0.280
3,4:28,1,10,DEN 20,21,27,C.J. Anderson for 10 yards (tackle by Leon Hall),0.280,0.940
3,3:53,1,10,DEN 30,21,27,Peyton Manning pass complete deep middle to Demaryius Thomas for 46 yards (tackle by Terence Newman),0.940,3.970
3,3:05,1,10,CIN 24,21,27,Peyton Manning pass incomplete short left intended for Emmanuel Sanders,3.970,3.430
3,2:59,2,10,CIN 24,21,27,Peyton Manning pass incomplete short left intended for Juwan Thompson,3.430,2.740
3,2:56,3,10,CIN 24,21,27,Peyton Manning pass complete short right to Demaryius Thomas for 15 yards (tackle by Carlos Dunlap),2.740,5.140
3,2:12,1,9,CIN 9,21,27,Peyton Manning pass complete short right to Wes Welker for 4 yards (tackle by Dre Kirkpatrick),5.140,5.150
3,1:35,2,5,CIN 5,27,27,"Peyton Manning pass complete short middle to Emmanuel Sanders for 5 yards, touchdown",5.150,7.000
3,1:35,,,CIN 2,28,27,Connor Barth kicks extra point good,0.000,0.000
3,1:35,,,DEN 35,28,27,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
3,1:29,1,10,CIN 20,28,27,Andy Dalton pass complete short middle to Jermaine Gresham for 20 yards (tackle by Aqib Talib and David Bruton),0.280,1.600
3,0:50,1,10,CIN 40,28,27,Giovani Bernard right tackle for 3 yards (tackle by T.J. Ward and Steven Johnson),1.600,1.460
3,0:14,2,7,CIN 43,28,27,Giovani Bernard right guard for 1 yard (tackle by T.J. Ward and David Bruton),1.460,0.890
Quarter,Time,Down,ToGo,Location,DEN,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,6,CIN 44,28,27,"Andy Dalton pass complete short left to Jermaine Gresham for 4 yards (tackle by David Bruton). Jermaine Gresham fumbles (forced by David Bruton), recovered by Clint Boling at CIN-48",0.890,-0.190
4,14:20,4,2,CIN 48,28,27,"Kevin Huber punts 37 yards, returned by Wes Welker for 6 yards (tackle by Darqueze Dennard)",-0.190,-0.340
4,14:10,1,10,DEN 21,28,27,C.J. Anderson left tackle for -1 yards (tackle by Domata Peko),0.340,-0.340
4,13:24,2,11,DEN 20,28,27,"Peyton Manning pass incomplete short left intended for Demaryius Thomas. Penalty on Wallace Gilberry: Defensive Offside (Offsetting), Penalty on Ryan Clady: Offensive Holding (Offsetting) (no play)",-0.340,-0.340
4,13:20,2,11,DEN 20,28,27,"Peyton Manning pass incomplete short left intended for Demaryius Thomas is intercepted by Adam Jones at DEN-34 and returned for 11 yards. Penalty on Reggie Nelson: Taunting, 15 yards",-0.340,-3.050
4,13:11,1,10,DEN 38,28,27,Jeremy Hill left guard for -2 yards (tackle by Terrance Knighton),3.050,2.240
4,12:33,2,12,DEN 40,28,27,Andy Dalton pass incomplete short right intended for A.J. Green (defended by Aqib Talib),2.240,1.550
4,12:25,3,12,DEN 40,28,27,Andy Dalton pass incomplete short middle intended for Jermaine Gresham (defended by David Bruton),1.550,0.590
4,12:17,4,12,DEN 40,28,27,"Kevin Huber punts 40 yards, touchback. Penalty on Kayvon Webster: Illegal Block Above the Waist, 10 yards",0.590,0.380
4,12:09,1,10,DEN 10,28,27,C.J. Anderson left guard for 2 yards (tackle by George Iloka and Rey Maualuga),-0.380,-0.630
4,11:27,2,8,DEN 12,28,27,Peyton Manning pass complete short middle to C.J. Anderson for 3 yards (tackle by Vincent Rey and Rey Maualuga),-0.630,-0.840
4,10:41,3,5,DEN 15,28,27,C.J. Anderson right guard for 2 yards (tackle by Rey Maualuga),-0.840,-2.320
4,9:59,4,3,DEN 17,28,27,"Britton Colquitt punts 44 yards, returned by Brandon Tate for 49 yards (tackle by Virgil Green)",-2.320,-4.780
4,9:43,1,10,DEN 12,28,27,Jeremy Hill left tackle for 3 yards (tackle by Chris Harris and Todd Davis),4.780,4.640
4,9:04,2,7,DEN 9,28,27,Jeremy Hill up the middle for 2 yards (tackle by Terrance Knighton),4.640,4.160
4,8:25,3,5,DEN 7,28,27,Andy Dalton pass complete short middle to Giovani Bernard for 2 yards (tackle by Von Miller and T.J. Ward),4.160,3.020
4,7:53,4,3,DEN 5,28,30,Mike Nugent 23 yard field goal good,3.020,3.000
4,7:53,,,CIN 35,28,30,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
4,7:49,1,10,DEN 20,28,30,Peyton Manning pass complete short middle to C.J. Anderson for 4 yards (tackle by Rey Maualuga),0.280,0.270
4,7:18,2,6,DEN 24,28,30,Peyton Manning pass incomplete short left intended for Julius Thomas,0.270,-0.430
4,7:11,3,6,DEN 24,28,30,"Peyton Manning pass complete deep right to Demaryius Thomas for 27 yards (tackle by George Iloka). Penalty on Demaryius Thomas: Face Mask (15 Yards), 12 yards (no play)",-0.430,-2.360
4,6:55,3,18,DEN 12,28,30,Peyton Manning sacked by Taylor Mays for -6 yards,-2.360,-2.490
4,6:10,4,24,DEN 6,28,30,"Britton Colquitt punts 44 yards. Penalty on Cedric Peerman: Offensive Holding, 10 yards",-2.490,-1.600
4,5:58,1,10,CIN 40,28,30,Jeremy Hill right guard for 2 yards (tackle by Malik Jackson),1.600,1.320
4,5:16,2,8,CIN 42,28,30,"Andy Dalton pass incomplete deep right intended for Jermaine Gresham. Penalty on Marvin Austin: Roughing the Passer, 15 yards (no play)",1.320,2.720
4,5:09,1,10,DEN 43,28,30,Jeremy Hill left end for 1 yard (tackle by Todd Davis),2.720,2.310
4,4:24,2,9,DEN 42,28,30,Andy Dalton pass incomplete short right intended for Mohamed Sanu (defended by Chris Harris),2.310,1.620
4,4:18,3,9,DEN 42,28,30,Andy Dalton pass complete short left to Jermaine Gresham for 4 yards (tackle by Omar Bolden),1.620,0.720
4,4:14,4,5,DEN 38,28,30,"Penalty on Kevin Huber: Delay of Game, 5 yards (no play)",0.720,0.400
4,4:14,4,10,DEN 43,28,30,"Kevin Huber punts 43 yards, touchback",0.400,-0.280
4,4:04,1,10,DEN 20,28,30,Peyton Manning pass complete short left to Julius Thomas for 7 yards (tackle by Adam Jones),0.280,0.680
4,3:30,2,3,DEN 27,28,30,Peyton Manning pass complete short middle to C.J. Anderson for 2 yards (tackle by Rey Maualuga),0.680,0.230
4,2:50,3,1,DEN 29,28,36,"Peyton Manning pass incomplete short right intended for Demaryius Thomas is intercepted by Dre Kirkpatrick at DEN-30 and returned for 30 yards, touchdown",0.230,-7.000
4,2:41,,,DEN 2,28,37,Mike Nugent kicks extra point good,0.000,0.000
4,2:41,,,CIN 35,28,37,"Mike Nugent kicks off 65 yards, touchback",0.000,3.010
4,2:41,3,1,DEN 29,28,37,Timeout #1 by Cincinnati Bengals,3.010,-0.280
4,2:41,1,10,DEN 20,28,37,Peyton Manning sacked by Carlos Dunlap for -5 yards,0.280,-1.070
4,2:13,2,15,DEN 15,28,37,Peyton Manning pass complete short middle to C.J. Anderson for 20 yards (tackle by Reggie Nelson),-1.070,1.270
4,2:00,1,10,DEN 35,28,37,Peyton Manning pass incomplete short middle intended for Demaryius Thomas,1.270,0.720
4,1:57,2,10,DEN 35,28,37,Peyton Manning pass complete short middle to Wes Welker for 13 yards (tackle by Vincent Rey),0.720,2.130
4,1:35,1,10,DEN 48,28,37,Peyton Manning pass complete short left to C.J. Anderson for 6 yards (tackle by Adam Jones),2.130,2.390
4,1:28,2,4,CIN 46,28,37,Peyton Manning pass incomplete short left intended for Jacob Tamme,2.390,1.680
4,1:24,3,4,CIN 46,28,37,C.J. Anderson right guard for 27 yards (tackle by Vincent Rey),1.680,1.680
4,1:14,3,4,CIN 46,28,37,Timeout #1 by Denver Broncos,1.680,4.310
4,1:14,1,10,CIN 19,28,37,Peyton Manning pass incomplete short right intended for Demaryius Thomas is intercepted by Dre Kirkpatrick at CIN-5,4.310,0.380
,,,,,,,"Replay Assistant challenged the incomplete pass ruling, and the play was upheld.",,
4,1:07,1,10,CIN 5,28,37,Jeremy Hill left tackle for 14 yards (tackle by Rahim Moore),-0.380,-0.380
4,1:01,1,10,CIN 5,28,37,Timeout #2 by Denver Broncos,-0.380,0.150
4,1:01,1,10,CIN 19,28,37,Andy Dalton kneels for -1 yards,0.150,-0.560
4,0:20,2,11,CIN 18,28,37,Andy Dalton kneels for -1 yards,-0.560,-1.420
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
