Quarter,Time,Down,ToGo,Location,LAC,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 61 yards, returned by K.J. Hill for 16 yards (tackle by Tylan Wallace and Chris Board)",,
1,14:53,1,10,LAC 20,0,0,Justin Herbert pass complete short right to Keenan Allen for 11 yards (tackle by Anthony Averett),,
1,14:19,1,10,LAC 31,0,0,Austin Ekeler right tackle for -1 yards (tackle by Josh Bynes and Calais Campbell),,
1,13:46,2,11,LAC 30,0,0,Justin Herbert pass incomplete short right intended for Austin Ekeler,,
1,13:38,3,11,LAC 30,0,0,Justin Herbert pass complete to Jared Cook for 11 yards (tackle by Brandon Stephens),,
1,13:12,1,10,LAC 41,0,0,Justin Herbert pass complete short right to Jared Cook for 8 yards (tackle by Chuck Clark),,
1,12:32,2,2,LAC 49,0,0,Joshua Kelley left tackle for 4 yards (tackle by Patrick Queen),,
1,12:11,1,10,BAL 47,0,0,Justin Herbert pass incomplete deep middle intended for Mike Williams,,
1,12:04,2,10,BAL 47,0,0,Justin Herbert pass incomplete short left intended for Jalen Guyton,,
1,12:00,3,10,BAL 47,0,0,Justin Herbert pass incomplete short left intended for Austin Ekeler (defended by Chuck Clark),,
1,11:58,4,10,BAL 47,0,0,"Ty Long punts 37 yards, fair catch by Devin Duvernay at BAL-10",,
1,11:51,1,10,BAL 10,0,0,Latavius Murray left guard for 8 yards (tackle by Amen Ogbongbemiga and Michael Davis),,
1,11:27,2,2,BAL 18,0,0,Lamar Jackson pass complete to Devin Duvernay for 7 yards (tackle by Chris Harris and Kyzir White),,
1,10:47,1,10,BAL 25,0,0,Lamar Jackson pass incomplete short right intended for Devonta Freeman,,
1,10:40,2,10,BAL 25,0,0,Lamar Jackson left guard for 6 yards (tackle by Alohi Gilman),,
1,9:55,3,4,BAL 31,0,0,"Lamar Jackson pass complete short middle to Marquise Brown for 4 yards (tackle by Chris Harris) LAC challenged the short of the line to gain ruling, and the play was upheld.",,
1,9:13,1,10,BAL 35,0,0,Lamar Jackson pass complete short left to Latavius Murray for 4 yards (tackle by Amen Ogbongbemiga and Chris Harris),,
1,8:32,2,6,BAL 39,0,0,Devonta Freeman right tackle for 16 yards (tackle by Chris Harris),,
1,7:52,1,10,LAC 45,0,0,Lamar Jackson pass complete short middle to Latavius Murray for 8 yards (tackle by Kyzir White and Amen Ogbongbemiga),,
1,7:17,2,2,LAC 37,0,0,"Devonta Freeman left guard for 6 yards (tackle by Linval Joseph). Penalty on Jerry Tillery: Illegal Use of Hands / Defense, 5 yards (accepted)",,
1,6:53,1,10,LAC 26,0,0,Lamar Jackson scrambles up the middle for 1 yard (tackle by Kyler Fackrell),,
1,6:06,2,9,LAC 25,0,0,Devin Duvernay right end for 11 yards (tackle by Derwin James),,
1,5:18,1,10,LAC 14,0,6,"Latavius Murray up the middle for 14 yards, touchdown",,
1,5:12,,,LAC 15,0,7,Justin Tucker kicks extra point good,,
